,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Well / Set,Dye,Content,Description,Efficiency,C(t),ng,Avg C(t),Max C(t),Min C(t),C(t) SD,Avg ng,Max ng,Min ng,ng SD
F5,FAM,Sample,R6bisGP,53.37%,26.98,1.588,,,,,,,,
F5,TMR,Sample,R6bisGP,N/A,N/A,,,,,,,,,
F6,FAM,Sample,R6bisGP,44.54%,25.96,3.179,,,,,,,,
F6,TMR,Sample,R6bisGP,N/A,N/A,,,,,,,,,
F7,FAM,Sample,R6bisSN,53.13%,27.26,1.314,,,,,,,,
F7,TMR,Sample,R6bisSN,N/A,N/A,,,,,,,,,
F8,FAM,Sample,R6bisSN,60.97%,27.84,0.8894,,,,,,,,
F8,TMR,Sample,R6bisSN,N/A,N/A,,,,,,,,,
F9,FAM,Sample,R6bisSN,52.78%,26.88,1.707,,,,,,,,
F9,TMR,Sample,R6bisSN,N/A,N/A,,,,,,,,,
F10,FAM,Sample,R8bisNST,12.68%,26.45,2.282,,,,,,,,
F10,TMR,Sample,R8bisNST,N/A,N/A,,,,,,,,,
F11,FAM,Sample,R8bisNST,49.85%,28.6,0.5322,,,,,,,,
F11,TMR,Sample,R8bisNST,N/A,N/A,,,,,,,,,
F12,FAM,Sample,R8bisNST,61.86%,28.86,0.4468,,,,,,,,
F12,TMR,Sample,R8bisNST,N/A,N/A,,,,,,,,,
G1,TMR,Sample,R8bisGP,N/A,N/A,,,,,,,,,
G1,FAM,Sample,R8bisGP,54.23%,28.1,0.7486,,,,,,,,
G2,TMR,Sample,R8bisGP,N/A,N/A,,,,,,,,,
G2,FAM,Sample,R8bisGP,53.24%,28.95,0.4201,,,,,,,,
G3,FAM,Sample,R8bisGP,49.84%,28.1,0.7473,,,,,,,,
G3,TMR,Sample,R8bisGP,N/A,N/A,,,,,,,,,
G4,FAM,Sample,R8bisSN,60.64%,28.91,0.4329,,,,,,,,
G4,TMR,Sample,R8bisSN,N/A,N/A,,,,,,,,,
G5,TMR,Sample,R8bisSN,N/A,N/A,,,,,,,,,
G5,FAM,Sample,R8bisSN,49.35%,28.53,0.5584,,,,,,,,
G6,TMR,Sample,R8bisSN,N/A,N/A,,,,,,,,,
G6,FAM,Sample,R8bisSN,58.63%,28.75,0.4802,,,,,,,,
G7,TMR,Sample,V2NST,N/A,N/A,,,,,,,,,
G7,FAM,Sample,V2NST,59.77%,29.44,0.3011,,,,,,,,
G8,TMR,Sample,V2NST,N/A,N/A,,,,,,,,,
G8,FAM,Sample,V2NST,52.15%,28.46,0.5855,,,,,,,,
G9,TMR,Sample,V2NST,N/A,N/A,,,,,,,,,
G9,FAM,Sample,V2NST,44.88%,29.27,0.3382,,,,,,,,
G10,TMR,Sample,V2GP,N/A,N/A,,,,,,,,,
G10,FAM,Sample,V2GP,61.19%,27.2,1.374,,,,,,,,
G11,FAM,Sample,V2GP,61.07%,26.68,1.942,,,,,,,,
G11,TMR,Sample,V2GP,N/A,N/A,,,,,,,,,
G12,FAM,Sample,V2GP,61.99%,26.93,1.649,,,,,,,,
G12,TMR,Sample,V2GP,N/A,N/A,,,,,,,,,
H1,FAM,Sample,V2SN,48.33%,28.97,0.4159,,,,,,,,
H1,TMR,Sample,V2SN,N/A,N/A,,,,,,,,,
H2,FAM,Sample,V2SN,69.75%,28.69,0.5014,,,,,,,,
H2,TMR,Sample,V2SN,0.72%,21.01,,,,,,,,,
H3,FAM,Sample,V2SN,47.47%,28.54,0.554,,,,,,,,
H3,TMR,Sample,V2SN,N/A,N/A,,,,,,,,,
H4,FAM,Sample,V8NST,45.72%,29.43,0.3034,,,,,,,,
H4,TMR,Sample,V8NST,N/A,N/A,,,,,,,,,
H5,FAM,Sample,V8NST,52.99%,30.73,0.1267,,,,,,,,
H5,TMR,Sample,V8NST,N/A,N/A,,,,,,,,,
H6,FAM,Sample,V8NST,8.00%,18.08,647.9,,,,,,,,
H6,TMR,Sample,V8NST,N/A,N/A,,,,,,,,,
H7,FAM,Sample,V8GP,49.62%,28.05,0.774,,,,,,,,
H7,TMR,Sample,V8GP,N/A,N/A,,,,,,,,,
H8,FAM,Sample,V8GP,110.72%,2.81,19600000,,,,,,,,
H8,TMR,Sample,V8GP,7.58%,6.97,,,,,,,,,
H9,FAM,Sample,V8GP,57.41%,27.95,0.8275,,,,,,,,
H9,TMR,Sample,V8GP,N/A,N/A,,,,,,,,,
H10,FAM,Sample,V8SN,57.30%,28.17,0.7145,,,,,,,,
H10,TMR,Sample,V8SN,N/A,N/A,,,,,,,,,
H11,FAM,Sample,V8SN,52.97%,29.11,0.3776,,,,,,,,
H11,TMR,Sample,V8SN,N/A,N/A,,,,,,,,,
H12,FAM,Sample,V8SN,48.22%,28.14,0.7258,,,,,,,,
H12,TMR,Sample,V8SN,N/A,N/A,,,,,,,,,
