49,C1,0,B AIW00202 iPSC,ACTB,UNKNOWN,VIC,NFQ-MGB,18.170,18.319,0.131,10.737,9.729,0.885,21.660,0.999,-3.385,97.418,1,0.159,1,3,13,Amp,,0.962,N,N
50,C2,0,B AIW00202 iPSC,ACTB,UNKNOWN,VIC,NFQ-MGB,18.416,18.319,0.131,9.082,9.729,0.885,21.660,0.999,-3.385,97.418,1,0.159,1,3,13,Amp,,0.967,N,N
51,C3,0,B AIW00202 iPSC,ACTB,UNKNOWN,VIC,NFQ-MGB,18.370,18.319,0.131,9.367,9.729,0.885,21.660,0.999,-3.385,97.418,1,0.159,1,3,13,Amp,,0.953,N,N
52,C4,0,B AIW00202 MNPC,ACTB,UNKNOWN,VIC,NFQ-MGB,18.708,18.739,0.041,7.446,7.293,0.201,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.961,N,N
53,C5,0,B AIW00202 MNPC,ACTB,UNKNOWN,VIC,NFQ-MGB,18.723,18.739,0.041,7.367,7.293,0.201,21.660,0.999,-3.385,97.418,1,0.159,1,3,13,Amp,,0.970,N,N
54,C6,0,B AIW00202 MNPC,ACTB,UNKNOWN,VIC,NFQ-MGB,18.785,18.739,0.041,7.066,7.293,0.201,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.968,N,N
55,C7,0,B AIW00202 2WK,ACTB,UNKNOWN,VIC,NFQ-MGB,18.854,18.911,0.051,6.740,6.488,0.228,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.971,N,N
56,C8,0,B AIW00202 2WK,ACTB,UNKNOWN,VIC,NFQ-MGB,18.955,18.911,0.051,6.295,6.488,0.228,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.977,N,N
57,C9,0,B AIW00202 2WK,ACTB,UNKNOWN,VIC,NFQ-MGB,18.924,18.911,0.051,6.429,6.488,0.228,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.976,N,N
58,C10,0,B AIW00202 4WK,ACTB,UNKNOWN,VIC,NFQ-MGB,19.172,19.305,0.158,5.431,4.979,0.523,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.977,N,N
59,C11,0,B AIW00202 4WK,ACTB,UNKNOWN,VIC,NFQ-MGB,19.479,19.305,0.158,4.406,4.979,0.523,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.975,N,N
60,C12,0,B AIW00202 4WK,ACTB,UNKNOWN,VIC,NFQ-MGB,19.265,19.305,0.158,5.098,4.979,0.523,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.966,N,N
61,C13,0,B AIW00202 iPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.378,20.462,0.074,10.429,9.886,0.479,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.852,N,N
62,C14,0,B AIW00202 iPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.518,20.462,0.074,9.525,9.886,0.479,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.857,N,N
63,C15,0,B AIW00202 iPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.489,20.462,0.074,9.705,9.886,0.479,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.853,N,N
64,C16,0,B AIW00202 MNPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.112,20.298,0.165,12.379,11.020,1.202,24.010,0.999,-3.567,90.712,1,0.116,1,3,14,Amp,,0.842,N,N
65,C17,0,B AIW00202 MNPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.355,20.298,0.165,10.582,11.020,1.202,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.872,N,N
66,C18,0,B AIW00202 MNPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.428,20.298,0.165,10.098,11.020,1.202,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.860,N,N
67,C19,0,B AIW00202 2WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.061,21.219,0.137,6.708,6.075,0.550,24.010,0.999,-3.567,90.712,1,0.116,1,3,17,Amp,,0.887,N,Y
