75,D3,0,,Olig2,STANDARD,FAM,NFQ-MGB,30.003,30.003,0.001,12.500,,,33.509,0.986,-3.440,95.317,1,0.308,1,3,24,Amp,,0.973,N
85,D13,0,,Pax6,STANDARD,FAM,NFQ-MGB,24.219,24.312,0.092,12.500,,,27.891,0.989,-3.458,94.619,1,0.287,1,3,19,Amp,,0.975,N
86,D14,0,,Pax6,STANDARD,FAM,NFQ-MGB,24.314,24.312,0.092,12.500,,,27.891,0.989,-3.458,94.619,1,0.287,1,3,19,Amp,,0.975,N
87,D15,0,,Pax6,STANDARD,FAM,NFQ-MGB,24.404,24.312,0.092,12.500,,,27.891,0.989,-3.458,94.619,1,0.287,1,3,19,Amp,,0.978,N
97,E1,0,C AIW00202 iPSC,Olig2,UNKNOWN,FAM,NFQ-MGB,33.989,34.362,0.366,0.725,0.576,0.141,33.509,0.986,-3.440,95.317,1,0.308,1,3,28,Amp,,0.959,N
98,E2,0,C AIW00202 iPSC,Olig2,UNKNOWN,FAM,NFQ-MGB,34.721,34.362,0.366,0.444,0.576,0.141,33.509,0.986,-3.440,95.317,1,0.308,1,3,30,Amp,,0.931,N
99,E3,0,C AIW00202 iPSC,Olig2,UNKNOWN,FAM,NFQ-MGB,34.376,34.362,0.366,0.560,0.576,0.141,33.509,0.986,-3.440,95.317,1,0.308,1,3,28,Amp,,0.948,N
100,E4,0,C AIW00202 MNPC,Olig2,UNKNOWN,FAM,NFQ-MGB,30.114,30.208,0.135,9.708,9.140,0.806,33.509,0.986,-3.440,95.317,1,0.308,1,3,25,Amp,,0.953,N
101,E5,0,C AIW00202 MNPC,Olig2,UNKNOWN,FAM,NFQ-MGB,30.363,30.208,0.135,8.217,9.140,0.806,33.509,0.986,-3.440,95.317,1,0.308,1,3,24,Amp,,0.953,N
102,E6,0,C AIW00202 MNPC,Olig2,UNKNOWN,FAM,NFQ-MGB,30.147,30.208,0.135,9.495,9.140,0.806,33.509,0.986,-3.440,95.317,1,0.308,1,3,25,Amp,,0.964,N
103,E7,0,C AIW00202 2WK,Olig2,UNKNOWN,FAM,NFQ-MGB,36.312,36.152,0.139,0.153,0.171,0.015,33.509,0.986,-3.440,95.317,1,0.308,1,3,30,Amp,,0.906,N
104,E8,0,C AIW00202 2WK,Olig2,UNKNOWN,FAM,NFQ-MGB,36.066,36.152,0.139,0.181,0.171,0.015,33.509,0.986,-3.440,95.317,1,0.308,1,3,30,Amp,,0.901,N
105,E9,0,C AIW00202 2WK,Olig2,UNKNOWN,FAM,NFQ-MGB,36.077,36.152,0.139,0.179,0.171,0.015,33.509,0.986,-3.440,95.317,1,0.308,1,3,30,Amp,,0.909,N
106,E10,0,C AIW00202 4WK,Olig2,UNKNOWN,FAM,NFQ-MGB,35.939,36.366,0.675,0.197,0.157,0.060,33.509,0.986,-3.440,95.317,1,0.308,1,3,30,Amp,,0.935,Y
107,E11,0,C AIW00202 4WK,Olig2,UNKNOWN,FAM,NFQ-MGB,37.144,36.366,0.675,0.088,0.157,0.060,33.509,0.986,-3.440,95.317,1,0.308,1,3,31,Amp,,0.893,Y
108,E12,0,C AIW00202 4WK,Olig2,UNKNOWN,FAM,NFQ-MGB,36.015,36.366,0.675,0.187,0.157,0.060,33.509,0.986,-3.440,95.317,1,0.308,1,3,30,Amp,,0.908,Y
109,E13,0,C AIW00202 iPSC,Pax6,UNKNOWN,FAM,NFQ-MGB,26.947,27.009,0.067,1.874,1.800,0.080,27.891,0.989,-3.458,94.619,1,0.287,1,3,22,Amp,,0.965,N
110,E14,0,C AIW00202 iPSC,Pax6,UNKNOWN,FAM,NFQ-MGB,27.000,27.009,0.067,1.810,1.800,0.080,27.891,0.989,-3.458,94.619,1,0.287,1,3,21,Amp,,0.968,N
111,E15,0,C AIW00202 iPSC,Pax6,UNKNOWN,FAM,NFQ-MGB,27.081,27.009,0.067,1.715,1.800,0.080,27.891,0.989,-3.458,94.619,1,0.287,1,3,22,Amp,,0.971,N
112,E16,0,C AIW00202 MNPC,Pax6,UNKNOWN,FAM,NFQ-MGB,22.581,22.707,0.144,34.307,31.657,2.989,27.891,0.989,-3.458,94.619,1,0.287,1,3,17,Amp,,0.970,N
113,E17,0,C AIW00202 MNPC,Pax6,UNKNOWN,FAM,NFQ-MGB,22.674,22.707,0.144,32.248,31.657,2.989,27.891,0.989,-3.458,94.619,1,0.287,1,3,17,Amp,,0.976,N
