19,A19,0,A AIW00202 2WK,MAP2,UNKNOWN,FAM,NFQ-MGB,21.413,21.534,0.134,28.384,26.334,2.234,26.632,0.993,-3.592,89.854,1,0.283,1,3,15,Amp,,0.972,N,N,N,N
20,A20,0,A AIW00202 2WK,MAP2,UNKNOWN,FAM,NFQ-MGB,21.511,21.534,0.134,26.665,26.334,2.234,26.632,0.993,-3.592,89.854,1,0.283,1,3,16,Amp,,0.971,N,N,N,N
21,A21,0,A AIW00202 2WK,MAP2,UNKNOWN,FAM,NFQ-MGB,21.678,21.534,0.134,23.953,26.334,2.234,26.632,0.993,-3.592,89.854,1,0.283,1,3,16,Amp,,0.975,N,N,N,N
22,A22,0,A AIW00202 4WK,MAP2,UNKNOWN,FAM,NFQ-MGB,22.943,23.027,0.101,10.645,10.099,0.648,26.632,0.993,-3.592,89.854,1,0.283,1,3,18,Amp,,0.970,N,N,N,N
23,A23,0,A AIW00202 4WK,MAP2,UNKNOWN,FAM,NFQ-MGB,23.140,23.027,0.101,9.383,10.099,0.648,26.632,0.993,-3.592,89.854,1,0.283,1,3,18,Amp,,0.979,N,N,N,N
24,A24,0,A AIW00202 4WK,MAP2,UNKNOWN,FAM,NFQ-MGB,22.999,23.027,0.101,10.270,10.099,0.648,26.632,0.993,-3.592,89.854,1,0.283,1,3,18,Amp,,0.984,N,N,N,N
25,B1,0,,ChAT,STANDARD,FAM,NFQ-MGB,24.531,24.605,0.100,50.000,,,30.988,0.981,-3.469,94.201,1,0.338,1,3,18,Amp,,0.980,N,N,N,N
26,B2,0,,ChAT,STANDARD,FAM,NFQ-MGB,24.566,24.605,0.100,50.000,,,30.988,0.981,-3.469,94.201,1,0.338,1,3,18,Amp,,0.991,N,N,N,N
27,B3,0,,ChAT,STANDARD,FAM,NFQ-MGB,24.719,24.605,0.100,50.000,,,30.988,0.981,-3.469,94.201,1,0.338,1,3,18,Amp,,0.987,N,N,N,N
37,B13,0,,MAP2,STANDARD,FAM,NFQ-MGB,20.055,20.139,0.078,50.000,,,26.632,0.993,-3.592,89.854,1,0.283,1,3,13,Amp,,0.992,N,N,N,N
38,B14,0,,MAP2,STANDARD,FAM,NFQ-MGB,20.152,20.139,0.078,50.000,,,26.632,0.993,-3.592,89.854,1,0.283,1,3,15,Amp,,0.991,N,N,N,N
39,B15,0,,MAP2,STANDARD,FAM,NFQ-MGB,20.209,20.139,0.078,50.000,,,26.632,0.993,-3.592,89.854,1,0.283,1,3,14,Amp,,0.987,N,N,N,N
49,C1,0,B AIW00202 iPSC,ChAT,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.053,1.459,,,,30.988,0.981,-3.469,94.201,1,0.338,1,3,39,No Amp,,0.000,Y,Y,N,N
50,C2,0,B AIW00202 iPSC,ChAT,UNKNOWN,FAM,NFQ-MGB,38.085,37.053,1.459,0.009,0.022,0.019,30.988,0.981,-3.469,94.201,1,0.338,1,3,32,Inconclusive,,0.758,Y,N,Y,N
51,C3,0,B AIW00202 iPSC,ChAT,UNKNOWN,FAM,NFQ-MGB,36.021,37.053,1.459,0.035,0.022,0.019,30.988,0.981,-3.469,94.201,1,0.338,1,3,30,Amp,,0.917,N,N,Y,N
52,C4,0,B AIW00202 MNPC,ChAT,UNKNOWN,FAM,NFQ-MGB,29.790,30.119,0.285,2.214,1.802,0.357,30.988,0.981,-3.469,94.201,1,0.338,1,3,24,Amp,,0.954,N,N,N,N
53,C5,0,B AIW00202 MNPC,ChAT,UNKNOWN,FAM,NFQ-MGB,30.270,30.119,0.285,1.610,1.802,0.357,30.988,0.981,-3.469,94.201,1,0.338,1,3,25,Amp,,0.955,N,N,N,N
54,C6,0,B AIW00202 MNPC,ChAT,UNKNOWN,FAM,NFQ-MGB,30.296,30.119,0.285,1.582,1.802,0.357,30.988,0.981,-3.469,94.201,1,0.338,1,3,24,Amp,,0.961,N,N,N,N
55,C7,0,B AIW00202 2WK,ChAT,UNKNOWN,FAM,NFQ-MGB,26.555,26.735,0.172,18.959,16.891,1.940,30.988,0.981,-3.469,94.201,1,0.338,1,3,20,Amp,,0.959,N,N,N,N
56,C8,0,B AIW00202 2WK,ChAT,UNKNOWN,FAM,NFQ-MGB,26.755,26.735,0.172,16.603,16.891,1.940,30.988,0.981,-3.469,94.201,1,0.338,1,3,21,Amp,,0.963,N,N,N,N
57,C9,0,B AIW00202 2WK,ChAT,UNKNOWN,FAM,NFQ-MGB,26.897,26.735,0.172,15.111,16.891,1.940,30.988,0.981,-3.469,94.201,1,0.338,1,3,22,Amp,,0.963,N,N,N,N
58,C10,0,B AIW00202 4WK,ChAT,UNKNOWN,FAM,NFQ-MGB,26.808,26.949,0.125,16.022,14.632,1.238,30.988,0.981,-3.469,94.201,1,0.338,1,3,21,Amp,,0.960,N,N,N,N
59,C11,0,B AIW00202 4WK,ChAT,UNKNOWN,FAM,NFQ-MGB,26.988,26.949,0.125,14.224,14.632,1.238,30.988,0.981,-3.469,94.201,1,0.338,1,3,21,Amp,,0.974,N,N,N,N
60,C12,0,B AIW00202 4WK,ChAT,UNKNOWN,FAM,NFQ-MGB,27.050,26.949,0.125,13.649,14.632,1.238,30.988,0.981,-3.469,94.201,1,0.338,1,3,22,Amp,,0.964,N,N,N,N
61,C13,0,B AIW00202 iPSC,MAP2,UNKNOWN,FAM,NFQ-MGB,30.892,31.013,0.131,0.065,0.060,0.005,26.632,0.993,-3.592,89.854,1,0.283,1,3,25,Amp,,0.969,N,N,N,N
62,C14,0,B AIW00202 iPSC,MAP2,UNKNOWN,FAM,NFQ-MGB,30.995,31.013,0.131,0.061,0.060,0.005,26.632,0.993,-3.592,89.854,1,0.283,1,3,25,Amp,,0.972,N,N,N,N
63,C15,0,B AIW00202 iPSC,MAP2,UNKNOWN,FAM,NFQ-MGB,31.152,31.013,0.131,0.055,0.060,0.005,26.632,0.993,-3.592,89.854,1,0.283,1,3,25,Amp,,0.968,N,N,N,N
64,C16,0,B AIW00202 MNPC,MAP2,UNKNOWN,FAM,NFQ-MGB,24.292,24.396,0.111,4.484,4.200,0.298,26.632,0.993,-3.592,89.854,1,0.283,1,3,19,Amp,,0.970,N,N,N,N
65,C17,0,B AIW00202 MNPC,MAP2,UNKNOWN,FAM,NFQ-MGB,24.384,24.396,0.111,4.227,4.200,0.298,26.632,0.993,-3.592,89.854,1,0.283,1,3,18,Amp,,0.972,N,N,N,N
66,C18,0,B AIW00202 MNPC,MAP2,UNKNOWN,FAM,NFQ-MGB,24.514,24.396,0.111,3.889,4.200,0.298,26.632,0.993,-3.592,89.854,1,0.283,1,3,19,Amp,,0.974,N,N,N,N
67,C19,0,B AIW00202 2WK,MAP2,UNKNOWN,FAM,NFQ-MGB,21.753,21.861,0.106,22.824,21.335,1.445,26.632,0.993,-3.592,89.854,1,0.283,1,3,16,Amp,,0.971,N,N,N,N
68,C20,0,B AIW00202 2WK,MAP2,UNKNOWN,FAM,NFQ-MGB,21.865,21.861,0.106,21.242,21.335,1.445,26.632,0.993,-3.592,89.854,1,0.283,1,3,17,Amp,,0.974,N,N,N,N
69,C21,0,B AIW00202 2WK,MAP2,UNKNOWN,FAM,NFQ-MGB,21.964,21.861,0.106,19.938,21.335,1.445,26.632,0.993,-3.592,89.854,1,0.283,1,3,16,Amp,,0.977,N,N,N,N
70,C22,0,B AIW00202 4WK,MAP2,UNKNOWN,FAM,NFQ-MGB,22.204,22.239,0.036,17.095,16.721,0.389,26.632,0.993,-3.592,89.854,1,0.283,1,3,17,Amp,,0.967,N,N,N,N
71,C23,0,B AIW00202 4WK,MAP2,UNKNOWN,FAM,NFQ-MGB,22.236,22.239,0.036,16.749,16.721,0.389,26.632,0.993,-3.592,89.854,1,0.283,1,3,16,Amp,,0.978,N,N,N,N
72,C24,0,B AIW00202 4WK,MAP2,UNKNOWN,FAM,NFQ-MGB,22.277,22.239,0.036,16.320,16.721,0.389,26.632,0.993,-3.592,89.854,1,0.283,1,3,14,Amp,,0.986,N,N,N,N
73,D1,0,,ChAT,STANDARD,FAM,NFQ-MGB,27.193,27.099,0.133,12.500,,,30.988,0.981,-3.469,94.201,1,0.338,1,3,20,Amp,,0.974,N,N,N,N
74,D2,0,,ChAT,STANDARD,FAM,NFQ-MGB,27.005,27.099,0.133,12.500,,,30.988,0.981,-3.469,94.201,1,0.338,1,3,21,Amp,,0.973,N,N,N,N
85,D13,0,,MAP2,STANDARD,FAM,NFQ-MGB,22.776,22.813,0.060,12.500,,,26.632,0.993,-3.592,89.854,1,0.283,1,3,18,Amp,,0.980,N,N,N,N
86,D14,0,,MAP2,STANDARD,FAM,NFQ-MGB,22.780,22.813,0.060,12.500,,,26.632,0.993,-3.592,89.854,1,0.283,1,3,17,Amp,,0.980,N,N,N,N
87,D15,0,,MAP2,STANDARD,FAM,NFQ-MGB,22.881,22.813,0.060,12.500,,,26.632,0.993,-3.592,89.854,1,0.283,1,3,17,Amp,,0.982,N,N,N,N
97,E1,0,C AIW00202 iPSC,ChAT,UNKNOWN,FAM,NFQ-MGB,37.286,36.641,0.911,0.015,0.026,0.015,30.988,0.981,-3.469,94.201,1,0.338,1,3,31,Amp,,0.848,N,N,Y,N
98,E2,0,C AIW00202 iPSC,ChAT,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.641,0.911,,,,30.988,0.981,-3.469,94.201,1,0.338,1,3,8,No Amp,,0.000,Y,N,N,N
99,E3,0,C AIW00202 iPSC,ChAT,UNKNOWN,FAM,NFQ-MGB,35.997,36.641,0.911,0.036,0.026,0.015,30.988,0.981,-3.469,94.201,1,0.338,1,3,30,Amp,,0.915,N,N,Y,N
100,E4,0,C AIW00202 MNPC,ChAT,UNKNOWN,FAM,NFQ-MGB,30.602,30.640,0.039,1.292,1.260,0.033,30.988,0.981,-3.469,94.201,1,0.338,1,3,26,Amp,,0.960,N,N,N,N
101,E5,0,C AIW00202 MNPC,ChAT,UNKNOWN,FAM,NFQ-MGB,30.680,30.640,0.039,1.227,1.260,0.033,30.988,0.981,-3.469,94.201,1,0.338,1,3,25,Amp,,0.957,N,N,N,N
102,E6,0,C AIW00202 MNPC,ChAT,UNKNOWN,FAM,NFQ-MGB,30.639,30.640,0.039,1.260,1.260,0.033,30.988,0.981,-3.469,94.201,1,0.338,1,3,25,Amp,,0.960,N,N,N,N
103,E7,0,C AIW00202 2WK,ChAT,UNKNOWN,FAM,NFQ-MGB,26.394,26.540,0.141,21.093,19.203,1.805,30.988,0.981,-3.469,94.201,1,0.338,1,3,21,Amp,,0.965,N,N,N,N
104,E8,0,C AIW00202 2WK,ChAT,UNKNOWN,FAM,NFQ-MGB,26.550,26.540,0.141,19.020,19.203,1.805,30.988,0.981,-3.469,94.201,1,0.338,1,3,20,Amp,,0.966,N,N,N,N
105,E9,0,C AIW00202 2WK,ChAT,UNKNOWN,FAM,NFQ-MGB,26.676,26.540,0.141,17.498,19.203,1.805,30.988,0.981,-3.469,94.201,1,0.338,1,3,21,Amp,,0.967,N,N,N,N
