,,rq,rq,rqSD,rqSEM
,,size,mean,mean,mean
Target Name,Sample Name,,,,
GAPDH1,3450,3.0,0.012301749754641619,0.0006058931740841725,0.0003498125871576538
GAPDH1,AIW002-02,3.0,0.01249906294459646,0.0014082537469778953,0.000813055679904987
GAPDH1,AJC,3.0,0.027119009334184502,0.0051504609825912435,0.002973620034749719
GAPDH1,AJD,3.0,0.6758584268965057,0.027469429348037356,0.015859482428574777
GAPDH1,AJG,2.0,0.04095201847271199,0.004407253269028904,0.0031163986729369174
GAPDH1,H9,2.0,0.007399481390981118,0.000612212543650626,0.00043289964114282285
GAPDH1,TD02,3.0,0.03797437002286191,0.0012815119557604375,0.0007398812726280125
GAPDH1,TD03,2.0,0.03141096257220719,0.0031967131853225163,0.00226041757085
GAPDH1,TD10,3.0,1.2369387458149734,0.10165920126988474,0.0586929672187703
GAPDH1,TD22,3.0,1.2047914226355116,0.1096635503367999,0.06331428030724151
GAPDH2,3448,3.0,3.319319241179033,0.22495756537386305,0.12987931092484267
GAPDH2,3450,2.0,0.011067500940942231,0.0005747388888613572,0.00040640176572548717
GAPDH2,AIW001-2,1.0,0.005274499801364682,,
GAPDH2,AIW002-02,3.0,0.02150624675518525,0.001903210081046411,0.001098818852616555
GAPDH2,AJC,2.0,0.05898807985624856,0.008041338760815784,0.005686085167591069
GAPDH2,AJD,3.0,1.363900112406223,0.19224147832910157,0.1109906692627184
GAPDH2,AJG,3.0,0.09090634336287069,0.0058637695239706945,0.0033854489131304043
GAPDH2,H9,2.0,0.030804643710712745,0.004318964164977732,0.0030539688487574487
GAPDH2,TD02,3.0,0.05874820367313419,0.010047505852458087,0.005800930208601017
GAPDH2,TD03,2.0,0.024290667658335128,0.0033467195454283155,0.0023664880853019217
GAPDH2,TD10,3.0,2.653956327454553,0.15333960057306184,0.08853065966828695
GAPDH2,TD22,3.0,2.652540189733522,0.3335956242497211,0.19260152346105774
NANOG,3448,3.0,1.0835835132020366,0.034317748650756034,0.019813361421495913
NANOG,3450,3.0,1.8133915117462325,0.33662123567616375,0.1943483610325776
NANOG,AIW001-2,3.0,3.491033189734402,,
NANOG,AIW002-02,3.0,2.5472624174928464,0.1381907104041667,0.07978444385135126
NANOG,AJC,3.0,1.4541147111153858,0.024958959166962624,0.014410061793738748
NANOG,AJD,3.0,1.4109305533564906,0.07437757709119014,0.04294191415527077
NANOG,AJG,3.0,1.5082850020838092,0.040777951705694544,0.023543161394284307
NANOG,H9,3.0,3.009570499895434,0.5091545492009592,0.2939605160402963
NANOG,TD02,3.0,3.109286160200295,0.34889647778264715,0.2014354753671236
NANOG,TD03,3.0,1.963484588603191,0.16603289185450146,0.09585913480652845
NANOG,TD10,3.0,0.8372116254590712,0.05070721458906454,0.029275823992852532
NANOG,TD22,3.0,1.1695085333987976,0.02578817764397993,0.014888811304661706
OCT3/4,AJC,3.0,6.9048642223936545,0.16578509412850012,0.095716068722717
OCT3/4,AJD,3.0,1.4512447973899825,0.27903370113618975,0.16110018246395674
OCT3/4,AJG,3.0,25.76358427988353,1.5162364357263776,0.8753995143217427
OCT3/4,H9,2.0,22.044312714011173,2.876611238837902,2.0340713138197155
OCT3/4,TD02,3.0,6.763004416243235,0.7000324550003688,0.40416392633593756
OCT3/4,TD03,3.0,11.522793279377092,0.3402042420087537,0.19641701070320658
OCT3/4,TD10,3.0,7.540249468904972,0.5940137983322761,0.3429540263694917
OCT3/4,TD22,3.0,6.221720463925734,0.5995814278318777,0.3461684987598348
SOX2,3448,3.0,1.028481104522561,0.02001876805991048,0.011557841128233997
SOX2,3450,3.0,0.3742758497856835,0.06509163601460366,0.037580673575024565
SOX2,AIW001-2,2.0,0.3153119959891163,,
SOX2,AIW002-02,3.0,0.3565320238081331,0.025880874325673833,0.014942329758790665
SOX2,AJC,3.0,0.5865117618977342,0.02952743238213044,0.017047671034301482
SOX2,AJD,3.0,0.5296491824981967,0.025523761076674464,0.014736150328349693
SOX2,AJG,3.0,1.7381189118316538,0.2267582392423856,0.1309189304675569
SOX2,H9,3.0,0.8225860122155918,0.046998236974808476,0.027134444768843496
SOX2,TD02,3.0,0.4799952631819537,0.036492964434788416,0.021069222839952533
SOX2,TD03,3.0,1.2658964568455857,0.022966697702698633,0.013259829101049817
SOX2,TD10,3.0,1.1151627253216692,0.11232952705523665,0.06485348268328424
