60,E12,0,,GRIA1,STANDARD,FAM,NFQ-MGB,31.939,31.516,0.374,0.195,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,25,Amp,,0.991
61,F1,0,AiW002-2-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.112,24.028,0.133,28.223,29.972,2.777,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.991
62,F2,0,AiW002-2-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.097,24.028,0.133,28.519,29.972,2.777,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.988
63,F3,0,AiW002-2-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,23.874,24.028,0.133,33.174,29.972,2.777,29.033,0.996,-3.392,97.161,1,0.310,1,3,16,Amp,,0.995
64,F4,0,AJG001C4-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,27.218,27.222,0.087,3.427,3.423,0.203,29.033,0.996,-3.392,97.161,1,0.310,1,3,22,Amp,,0.987
65,F5,0,AJG001C4-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,27.311,27.222,0.087,3.218,3.423,0.203,29.033,0.996,-3.392,97.161,1,0.310,1,3,23,Amp,,0.987
66,F6,0,AJG001C4-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,27.136,27.222,0.087,3.624,3.423,0.203,29.033,0.996,-3.392,97.161,1,0.310,1,3,22,Amp,,0.985
67,F7,0,NCRM1-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.185,24.024,0.156,26.864,30.069,3.167,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.986
68,F8,0,NCRM1-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.015,24.024,0.156,30.145,30.069,3.167,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.988
69,F9,0,NCRM1-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,23.873,24.024,0.156,33.197,30.069,3.167,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.994
70,F10,0,,GRIA1,STANDARD,FAM,NFQ-MGB,32.995,33.259,0.342,0.049,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,28,Amp,,0.993
71,F11,0,,GRIA1,STANDARD,FAM,NFQ-MGB,33.137,33.259,0.342,0.049,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,27,Amp,,0.990
72,F12,0,,GRIA1,STANDARD,FAM,NFQ-MGB,33.645,33.259,0.342,0.049,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,28,Amp,,0.987
73,G1,0,AiW002-2-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.605,24.566,0.095,20.200,20.775,1.363,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.985
74,G2,0,AiW002-2-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.635,24.566,0.095,19.795,20.775,1.363,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.988
75,G3,0,AiW002-2-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.457,24.566,0.095,22.331,20.775,1.363,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.993
76,G4,0,AJG001C4-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.523,24.504,0.029,21.360,21.629,0.435,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.991
77,G5,0,AJG001C4-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.520,24.504,0.029,21.397,21.629,0.435,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.988
78,G6,0,AJG001C4-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.471,24.504,0.029,22.130,21.629,0.435,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.992
79,G7,0,NCRM1-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,22.615,22.556,0.114,77.998,81.320,6.433,29.033,0.996,-3.392,97.161,1,0.310,1,3,16,Amp,,0.990
80,G8,0,NCRM1-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,22.629,22.556,0.114,77.226,81.320,6.433,29.033,0.996,-3.392,97.161,1,0.310,1,3,17,Amp,,0.987
81,G9,0,NCRM1-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,22.425,22.556,0.114,88.735,81.320,6.433,29.033,0.996,-3.392,97.161,1,0.310,1,3,17,Amp,,0.991
82,G10,0,,GRIA1,STANDARD,FAM,NFQ-MGB,36.004,35.595,0.399,0.012,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,30,Amp,,0.972
83,G11,0,,GRIA1,STANDARD,FAM,NFQ-MGB,35.206,35.595,0.399,0.012,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,29,Amp,,0.981
84,G12,0,,GRIA1,STANDARD,FAM,NFQ-MGB,35.576,35.595,0.399,0.012,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,29,Amp,,0.988
85,H1,0,AiW002-2-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.881,24.919,0.039,16.743,16.328,0.430,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.992
86,H2,0,AiW002-2-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.916,24.919,0.039,16.356,16.328,0.430,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.989
87,H3,0,AiW002-2-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.959,24.919,0.039,15.885,16.328,0.430,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.988
88,H4,0,AJG001C4-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.432,24.417,0.013,22.719,22.949,0.202,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.988
89,H5,0,AJG001C4-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.407,24.417,0.013,23.100,22.949,0.202,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.990
90,H6,0,AJG001C4-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.412,24.417,0.013,23.028,22.949,0.202,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.990
91,H7,0,NCRM1-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,22.671,22.677,0.085,75.071,74.868,4.310,29.033,0.996,-3.392,97.161,1,0.310,1,3,16,Amp,,0.992
92,H8,0,NCRM1-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,22.765,22.677,0.085,70.460,74.868,4.310,29.033,0.996,-3.392,97.161,1,0.310,1,3,15,Amp,,0.993
93,H9,0,NCRM1-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,22.595,22.677,0.085,79.072,74.868,4.310,29.033,0.996,-3.392,97.161,1,0.310,1,3,16,Amp,,0.991
