Block Type,96-Well 0.2-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,10-12-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration CM MELTDOCTOR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration CM MELTDOCTOR performed on,10-12-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MELTDOCTOR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MELTDOCTOR performed on,10-12-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,B5,FALSE,AJC001-5-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.585,21.188,0.357,10.094,12.931,2.587,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.827,N,,,
18,B6,FALSE,AJC001-5-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.085,21.188,0.357,13.539,12.931,2.587,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.814,N,,,
19,B7,FALSE,522-266-2-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.621,20.841,0.211,17.783,15.711,1.962,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,16,Amp,,0.802,N,,,
20,B8,FALSE,522-266-2-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.859,20.841,0.211,15.469,15.711,1.962,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,16,Amp,,0.816,N,,,
21,B9,FALSE,522-266-2-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.043,20.841,0.211,13.882,15.711,1.962,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.853,N,,,
22,B10,FALSE,,GAPDH,STANDARD,VIC,NFQ-MGB,21.07,21.315,0.228,12.5,,,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.807,N,,,
23,B11,FALSE,,GAPDH,STANDARD,VIC,NFQ-MGB,21.353,21.315,0.228,12.5,,,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,16,Amp,,0.816,N,,,
24,B12,FALSE,,GAPDH,STANDARD,VIC,NFQ-MGB,21.522,21.315,0.228,12.5,,,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.824,N,,,
25,C1,FALSE,AiW001-2-DA4W,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.792,21.737,0.059,8.938,9.238,0.32,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.877,N,,,
26,C2,FALSE,AiW001-2-DA4W,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.675,21.737,0.059,9.574,9.238,0.32,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,16,Amp,,0.808,N,,,
27,C3,FALSE,AiW001-2-DA4W,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.743,21.737,0.059,9.202,9.238,0.32,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.828,N,,,
28,C4,FALSE,AJC001-5-DA4W,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.078,21.089,0.01,13.596,13.511,0.076,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,16,Amp,,0.833,N,,,
29,C5,FALSE,AJC001-5-DA4W,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.092,21.089,0.01,13.485,13.511,0.076,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,16,Amp,,0.811,N,,,
30,C6,FALSE,AJC001-5-DA4W,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.097,21.089,0.01,13.451,13.511,0.076,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.822,N,,,
31,C7,FALSE,522-266-2-DA4W,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.805,20.917,0.114,15.961,14.97,1,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,16,Amp,,0.805,N,,,
32,C8,FALSE,522-266-2-DA4W,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.913,20.917,0.114,14.986,14.97,1,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.809,N,,,
33,C9,FALSE,522-266-2-DA4W,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.033,20.917,0.114,13.962,14.97,1,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,16,Amp,,0.816,N,,,
34,C10,FALSE,,GAPDH,STANDARD,VIC,NFQ-MGB,23.278,23.522,0.215,3.125,,,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,19,Amp,,0.867,N,,,
35,C11,FALSE,,GAPDH,STANDARD,VIC,NFQ-MGB,23.607,23.522,0.215,3.125,,,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,19,Amp,,0.881,N,,,
36,C12,FALSE,,GAPDH,STANDARD,VIC,NFQ-MGB,23.681,23.522,0.215,3.125,,,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,19,Amp,,0.877,N,,,
37,D1,FALSE,AiW001-2-DA6W,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.502,21.532,0.027,10.602,10.417,0.165,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,16,Amp,,0.831,N,,,
38,D2,FALSE,AiW001-2-DA6W,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.54,21.532,0.027,10.365,10.417,0.165,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,16,Amp,,0.813,N,,,
39,D3,FALSE,AiW001-2-DA6W,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.553,21.532,0.027,10.284,10.417,0.165,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.817,N,,,
40,D4,FALSE,AJC001-5-DA6W,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.125,21.207,0.071,13.229,12.614,0.534,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,16,Amp,,0.796,Y,,,
41,D5,FALSE,AJC001-5-DA6W,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.253,21.207,0.071,12.27,12.614,0.534,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.804,N,,,
42,D6,FALSE,AJC001-5-DA6W,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.243,21.207,0.071,12.343,12.614,0.534,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.804,N,,,
43,D7,FALSE,522-266-2-DA6W,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.551,20.748,0.231,18.538,16.606,2.192,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,16,Amp,,0.781,Y,,,
44,D8,FALSE,522-266-2-DA6W,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.692,20.748,0.231,17.056,16.606,2.192,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,16,Amp,,0.786,Y,,,
45,D9,FALSE,522-266-2-DA6W,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.001,20.748,0.231,14.224,16.606,2.192,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.821,N,,,
46,D10,FALSE,,GAPDH,STANDARD,VIC,NFQ-MGB,25.444,25.609,0.207,0.781,,,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,21,Amp,,0.955,N,,,
47,D11,FALSE,,GAPDH,STANDARD,VIC,NFQ-MGB,25.543,25.609,0.207,0.781,,,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,21,Amp,,0.95,N,,,
48,D12,FALSE,,GAPDH,STANDARD,VIC,NFQ-MGB,25.841,25.609,0.207,0.781,,,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,21,Amp,,0.961,N,,,
