187,H19,FALSE,#3448,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.285,21.208,0.111,,,,,,TRUE,0.120,TRUE,3,16,Amp,,0.904,N,N,N,N,N,N,N,N,N,N,N
188,H20,FALSE,#3448,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.081,21.208,0.111,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.911,N,N,N,N,N,N,N,N,N,N,N
189,H21,FALSE,#3448,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.259,21.208,0.111,,,,,,TRUE,0.120,TRUE,3,16,Amp,,0.893,N,N,N,N,N,N,N,N,N,N,N
190,H22,FALSE,#3450,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.564,21.289,0.242,,,,,,TRUE,0.120,TRUE,3,18,Amp,,0.763,Y,N,N,N,N,N,N,N,N,N,N
191,H23,FALSE,#3450,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.199,21.289,0.242,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.890,N,N,N,N,N,N,N,N,N,N,N
192,H24,FALSE,#3450,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.105,21.289,0.242,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.876,N,N,N,N,N,N,N,N,N,N,N
193,I1,FALSE,TD02,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.669,1.236,2.253,26.782,26.502,0.272,,4.080,0.317,0.183,-0.739,TRUE,0.394,TRUE,3,19,Amp,,0.875,N,N,N,N,N,N,N,N,N,N,N
194,I2,FALSE,TD02,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.669,1.236,2.253,26.485,26.502,0.272,,4.080,0.317,0.183,-0.739,TRUE,0.394,TRUE,3,21,Amp,,0.901,N,N,N,N,N,N,N,N,N,N,N
195,I3,FALSE,TD02,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.669,1.236,2.253,26.239,26.502,0.272,,4.080,0.317,0.183,-0.739,TRUE,0.394,TRUE,3,21,Amp,,0.906,N,N,N,N,N,N,N,N,N,N,N
196,I4,FALSE,TD03,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.727,1.331,2.242,25.861,25.626,0.214,,4.030,0.276,0.159,-0.788,TRUE,0.394,TRUE,3,18,Amp,,0.913,N,N,N,N,N,N,N,N,N,N,N
197,I5,FALSE,TD03,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.727,1.331,2.242,25.573,25.626,0.214,,4.030,0.276,0.159,-0.788,TRUE,0.394,TRUE,3,20,Amp,,0.910,N,N,N,N,N,N,N,N,N,N,N
198,I6,FALSE,TD03,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.727,1.331,2.242,25.444,25.626,0.214,,4.030,0.276,0.159,-0.788,TRUE,0.394,TRUE,3,19,Amp,,0.906,N,N,N,N,N,N,N,N,N,N,N
199,I7,FALSE,TD10,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.888,0.702,1.124,25.631,25.594,0.070,,4.990,0.249,0.144,0.172,TRUE,0.394,TRUE,3,20,Amp,,0.920,N,N,N,N,N,N,N,N,N,N,N
200,I8,FALSE,TD10,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.888,0.702,1.124,25.638,25.594,0.070,,4.990,0.249,0.144,0.172,TRUE,0.394,TRUE,3,19,Amp,,0.935,N,N,N,N,N,N,N,N,N,N,N
201,I9,FALSE,TD10,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.888,0.702,1.124,25.513,25.594,0.070,,4.990,0.249,0.144,0.172,TRUE,0.394,TRUE,3,18,Amp,,0.938,N,N,N,N,N,N,N,N,N,N,N
202,I10,FALSE,TD22,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.809,1.609,2.033,25.837,25.893,0.052,,3.964,0.124,0.071,-0.855,TRUE,0.394,TRUE,3,20,Amp,,0.947,N,N,N,N,N,N,N,N,N,N,N
203,I11,FALSE,TD22,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.809,1.609,2.033,25.940,25.893,0.052,,3.964,0.124,0.071,-0.855,TRUE,0.394,TRUE,3,20,Amp,,0.940,N,N,N,N,N,N,N,N,N,N,N
204,I12,FALSE,TD22,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.809,1.609,2.033,25.901,25.893,0.052,,3.964,0.124,0.071,-0.855,TRUE,0.394,TRUE,3,20,Amp,,0.943,N,N,N,N,N,N,N,N,N,N,N
205,I13,FALSE,GBA-KO,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.909,1.171,3.112,26.210,25.793,0.368,,3.886,0.516,0.298,-0.933,TRUE,0.394,TRUE,3,21,Amp,,0.926,N,N,N,N,N,N,N,N,N,N,N
206,I14,FALSE,GBA-KO,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.909,1.171,3.112,25.653,25.793,0.368,,3.886,0.516,0.298,-0.933,TRUE,0.394,TRUE,3,20,Amp,,0.950,N,N,N,N,N,N,N,N,N,N,N
207,I15,FALSE,GBA-KO,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.909,1.171,3.112,25.515,25.793,0.368,,3.886,0.516,0.298,-0.933,TRUE,0.394,TRUE,3,20,Amp,,0.953,N,N,N,N,N,N,N,N,N,N,N
208,I16,FALSE,PARKIN-KO,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.280,1.003,1.634,26.366,26.504,0.184,,4.462,0.258,0.149,-0.356,TRUE,0.394,TRUE,3,21,Amp,,0.940,N,N,N,N,N,N,N,N,N,N,N
209,I17,FALSE,PARKIN-KO,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.280,1.003,1.634,26.713,26.504,0.184,,4.462,0.258,0.149,-0.356,TRUE,0.394,TRUE,3,21,Amp,,0.902,N,N,N,N,N,N,N,N,N,N,N
210,I18,FALSE,PARKIN-KO,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.280,1.003,1.634,26.434,26.504,0.184,,4.462,0.258,0.149,-0.356,TRUE,0.394,TRUE,3,20,Amp,,0.910,N,N,N,N,N,N,N,N,N,N,N
211,I19,FALSE,SYN-KO,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.088,0.990,1.196,26.844,26.844,0.010,,4.697,0.100,0.057,-0.122,TRUE,0.394,TRUE,3,21,Amp,,0.902,N,N,N,N,N,N,N,N,N,N,N
212,I20,FALSE,SYN-KO,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.088,0.990,1.196,26.834,26.844,0.010,,4.697,0.100,0.057,-0.122,TRUE,0.394,TRUE,3,21,Amp,,0.889,N,N,N,N,N,N,N,N,N,N,N
213,I21,FALSE,SYN-KO,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1.088,0.990,1.196,26.854,26.844,0.010,,4.697,0.100,0.057,-0.122,TRUE,0.394,TRUE,3,21,Amp,,0.885,N,N,N,N,N,N,N,N,N,N,N
214,I22,FALSE,,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,27.529,8.103,,,,,,TRUE,0.394,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,Y,N,Y,Y
215,I23,FALSE,,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,,,,21.799,27.529,8.103,,,,,,TRUE,0.394,TRUE,3,19,No Amp,,0.000,Y,N,Y,Y,N,N,N,Y,N,Y,Y
216,I24,FALSE,,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,,,,33.259,27.529,8.103,,,,,,TRUE,0.394,TRUE,3,31,No Amp,,0.000,Y,N,Y,Y,Y,N,N,Y,N,Y,N
217,J1,FALSE,TD02,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.564,1.261,1.940,26.602,26.565,0.158,,4.143,0.227,0.131,-0.646,TRUE,0.388,TRUE,3,21,Amp,,0.863,N,N,N,N,N,N,N,N,N,N,N
218,J2,FALSE,TD02,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.564,1.261,1.940,26.700,26.565,0.158,,4.143,0.227,0.131,-0.646,TRUE,0.388,TRUE,3,21,Amp,,0.874,N,N,N,N,N,N,N,N,N,N,N
219,J3,FALSE,TD02,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.564,1.261,1.940,26.392,26.565,0.158,,4.143,0.227,0.131,-0.646,TRUE,0.388,TRUE,3,20,Amp,,0.919,N,N,N,N,N,N,N,N,N,N,N
220,J4,FALSE,TD03,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.900,1.559,2.314,25.583,25.459,0.115,,3.863,0.209,0.120,-0.926,TRUE,0.388,TRUE,3,20,Amp,,0.897,N,N,N,N,N,N,N,N,N,N,N
221,J5,FALSE,TD03,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.900,1.559,2.314,25.357,25.459,0.115,,3.863,0.209,0.120,-0.926,TRUE,0.388,TRUE,3,20,Amp,,0.937,N,N,N,N,N,N,N,N,N,N,N
222,J6,FALSE,TD03,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.900,1.559,2.314,25.437,25.459,0.115,,3.863,0.209,0.120,-0.926,TRUE,0.388,TRUE,3,20,Amp,,0.909,N,N,N,N,N,N,N,N,N,N,N
223,J7,FALSE,TD10,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.978,0.773,1.237,25.357,25.425,0.068,,4.821,0.248,0.143,0.032,TRUE,0.388,TRUE,3,19,Amp,,0.939,N,N,N,N,N,N,N,N,N,N,N
224,J8,FALSE,TD10,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.978,0.773,1.237,25.492,25.425,0.068,,4.821,0.248,0.143,0.032,TRUE,0.388,TRUE,3,19,Amp,,0.919,N,N,N,N,N,N,N,N,N,N,N
225,J9,FALSE,TD10,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.978,0.773,1.237,25.425,25.425,0.068,,4.821,0.248,0.143,0.032,TRUE,0.388,TRUE,3,20,Amp,,0.929,N,N,N,N,N,N,N,N,N,N,N
226,J10,FALSE,TD22,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.332,1.187,1.495,26.286,26.304,0.048,,4.375,0.122,0.070,-0.413,TRUE,0.388,TRUE,3,20,Amp,,0.945,N,N,N,N,N,N,N,N,N,N,N
227,J11,FALSE,TD22,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.332,1.187,1.495,26.268,26.304,0.048,,4.375,0.122,0.070,-0.413,TRUE,0.388,TRUE,3,20,Amp,,0.953,N,N,N,N,N,N,N,N,N,N,N
228,J12,FALSE,TD22,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.332,1.187,1.495,26.358,26.304,0.048,,4.375,0.122,0.070,-0.413,TRUE,0.388,TRUE,3,21,Amp,,0.939,N,N,N,N,N,N,N,N,N,N,N
229,J13,FALSE,GBA-KO,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.423,0.892,2.269,26.546,26.186,0.334,,4.280,0.493,0.285,-0.509,TRUE,0.388,TRUE,3,20,Amp,,0.928,N,N,N,N,N,N,N,N,N,N,N
230,J14,FALSE,GBA-KO,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.423,0.892,2.269,26.126,26.186,0.334,,4.280,0.493,0.285,-0.509,TRUE,0.388,TRUE,3,20,Amp,,0.945,N,N,N,N,N,N,N,N,N,N,N
231,J15,FALSE,GBA-KO,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.423,0.892,2.269,25.887,26.186,0.334,,4.280,0.493,0.285,-0.509,TRUE,0.388,TRUE,3,20,Amp,,0.956,N,N,N,N,N,N,N,N,N,N,N
232,J16,FALSE,PARKIN-KO,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.312,1.044,1.649,26.582,26.439,0.161,,4.397,0.242,0.140,-0.391,TRUE,0.388,TRUE,3,21,Amp,,0.904,N,N,N,N,N,N,N,N,N,N,N
233,J17,FALSE,PARKIN-KO,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.312,1.044,1.649,26.470,26.439,0.161,,4.397,0.242,0.140,-0.391,TRUE,0.388,TRUE,3,20,Amp,,0.902,N,N,N,N,N,N,N,N,N,N,N
234,J18,FALSE,PARKIN-KO,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.312,1.044,1.649,26.265,26.439,0.161,,4.397,0.242,0.140,-0.391,TRUE,0.388,TRUE,3,20,Amp,,0.908,N,N,N,N,N,N,N,N,N,N,N
235,J19,FALSE,SYN-KO,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.154,1.019,1.307,26.752,26.729,0.086,,4.582,0.131,0.076,-0.206,TRUE,0.388,TRUE,3,20,Amp,,0.921,N,N,N,N,N,N,N,N,N,N,N
236,J20,FALSE,SYN-KO,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.154,1.019,1.307,26.802,26.729,0.086,,4.582,0.131,0.076,-0.206,TRUE,0.388,TRUE,3,21,Amp,,0.908,N,N,N,N,N,N,N,N,N,N,N
237,J21,FALSE,SYN-KO,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.154,1.019,1.307,26.634,26.729,0.086,,4.582,0.131,0.076,-0.206,TRUE,0.388,TRUE,3,21,Amp,,0.902,N,N,N,N,N,N,N,N,N,N,N
238,J22,FALSE,,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,29.180,4.415,,,,,,TRUE,0.388,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,Y,N,Y,Y
239,J23,FALSE,,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,,,,26.058,29.180,4.415,,,,,,TRUE,0.388,TRUE,3,23,No Amp,,0.000,Y,N,Y,Y,N,N,N,Y,N,Y,Y
240,J24,FALSE,,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,,,,32.302,29.180,4.415,,,,,,TRUE,0.388,TRUE,3,24,No Amp,,0.000,Y,N,Y,Y,Y,N,N,Y,N,Y,Y
241,K1,FALSE,TD02,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.738,1.307,2.312,25.137,24.944,0.253,,2.522,0.301,0.174,-0.798,TRUE,0.226,TRUE,3,19,Amp,,0.885,N,N,N,N,N,N,N,N,N,N,N
242,K2,FALSE,TD02,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.738,1.307,2.312,25.036,24.944,0.253,,2.522,0.301,0.174,-0.798,TRUE,0.226,TRUE,3,19,Amp,,0.905,N,N,N,N,N,N,N,N,N,N,N
243,K3,FALSE,TD02,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.738,1.307,2.312,24.658,24.944,0.253,,2.522,0.301,0.174,-0.798,TRUE,0.226,TRUE,3,19,Amp,,0.917,N,N,N,N,N,N,N,N,N,N,N
244,K4,FALSE,TD03,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.253,0.946,1.661,24.844,24.590,0.241,,2.994,0.297,0.172,-0.326,TRUE,0.226,TRUE,3,19,Amp,,0.915,N,N,N,N,N,N,N,N,N,N,N
245,K5,FALSE,TD03,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.253,0.946,1.661,24.560,24.590,0.241,,2.994,0.297,0.172,-0.326,TRUE,0.226,TRUE,3,19,Amp,,0.917,N,N,N,N,N,N,N,N,N,N,N
246,K6,FALSE,TD03,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.253,0.946,1.661,24.365,24.590,0.241,,2.994,0.297,0.172,-0.326,TRUE,0.226,TRUE,3,19,Amp,,0.917,N,N,N,N,N,N,N,N,N,N,N
247,K7,FALSE,TD10,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.970,0.752,1.252,24.044,23.967,0.125,,3.363,0.269,0.156,0.044,TRUE,0.226,TRUE,3,19,Amp,,0.930,N,N,N,N,N,N,N,N,N,N,N
248,K8,FALSE,TD10,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.970,0.752,1.252,23.823,23.967,0.125,,3.363,0.269,0.156,0.044,TRUE,0.226,TRUE,3,18,Amp,,0.930,N,N,N,N,N,N,N,N,N,N,N
249,K9,FALSE,TD10,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.970,0.752,1.252,24.034,23.967,0.125,,3.363,0.269,0.156,0.044,TRUE,0.226,TRUE,3,19,Amp,,0.867,N,N,N,N,N,N,N,N,N,N,N
250,K10,FALSE,TD22,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.988,1.771,2.231,24.235,24.257,0.048,,2.328,0.122,0.070,-0.991,TRUE,0.226,TRUE,3,19,Amp,,0.938,N,N,N,N,N,N,N,N,N,N,N
251,K11,FALSE,TD22,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.988,1.771,2.231,24.313,24.257,0.048,,2.328,0.122,0.070,-0.991,TRUE,0.226,TRUE,3,19,Amp,,0.952,N,N,N,N,N,N,N,N,N,N,N
252,K12,FALSE,TD22,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.988,1.771,2.231,24.224,24.257,0.048,,2.328,0.122,0.070,-0.991,TRUE,0.226,TRUE,3,19,Amp,,0.933,N,N,N,N,N,N,N,N,N,N,N
253,K13,FALSE,GBA-KO,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.824,1.130,2.946,24.739,24.359,0.353,,2.452,0.506,0.292,-0.867,TRUE,0.226,TRUE,3,20,Amp,,0.902,N,N,N,N,N,N,N,N,N,N,N
254,K14,FALSE,GBA-KO,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.824,1.130,2.946,24.297,24.359,0.353,,2.452,0.506,0.292,-0.867,TRUE,0.226,TRUE,3,19,Amp,,0.904,N,N,N,N,N,N,N,N,N,N,N
255,K15,FALSE,GBA-KO,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.824,1.130,2.946,24.041,24.359,0.353,,2.452,0.506,0.292,-0.867,TRUE,0.226,TRUE,3,18,Amp,,0.930,N,N,N,N,N,N,N,N,N,N,N
256,K16,FALSE,PARKIN-KO,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.560,1.229,1.979,24.884,24.720,0.176,,2.678,0.252,0.145,-0.641,TRUE,0.226,TRUE,3,20,Amp,,0.901,N,N,N,N,N,N,N,N,N,N,N
257,K17,FALSE,PARKIN-KO,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.560,1.229,1.979,24.741,24.720,0.176,,2.678,0.252,0.145,-0.641,TRUE,0.226,TRUE,3,18,Amp,,0.890,N,N,N,N,N,N,N,N,N,N,N
258,K18,FALSE,PARKIN-KO,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.560,1.229,1.979,24.534,24.720,0.176,,2.678,0.252,0.145,-0.641,TRUE,0.226,TRUE,3,19,Amp,,0.919,N,N,N,N,N,N,N,N,N,N,N
259,K19,FALSE,SYN-KO,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.475,1.287,1.690,24.790,24.906,0.104,,2.759,0.144,0.083,-0.561,TRUE,0.226,TRUE,3,19,Amp,,0.902,N,N,N,N,N,N,N,N,N,N,N
260,K20,FALSE,SYN-KO,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.475,1.287,1.690,24.992,24.906,0.104,,2.759,0.144,0.083,-0.561,TRUE,0.226,TRUE,3,19,Amp,,0.893,N,N,N,N,N,N,N,N,N,N,N
261,K21,FALSE,SYN-KO,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.475,1.287,1.690,24.935,24.906,0.104,,2.759,0.144,0.083,-0.561,TRUE,0.226,TRUE,3,19,Amp,,0.890,N,N,N,N,N,N,N,N,N,N,N
262,K22,FALSE,,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,,,,7.022,6.757,0.375,,,,,,TRUE,0.226,TRUE,3,6,No Amp,,0.356,Y,N,Y,N,N,N,N,Y,N,Y,Y
263,K23,FALSE,,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,,,,6.492,6.757,0.375,,,,,,TRUE,0.226,TRUE,3,6,No Amp,,0.484,Y,N,Y,N,N,N,N,Y,N,Y,Y
264,K24,FALSE,,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,6.757,0.375,,,,,,TRUE,0.226,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,Y,N,Y,N
265,L1,FALSE,TD02,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.158,0.955,1.405,27.086,26.963,0.121,,4.541,0.204,0.118,-0.212,TRUE,0.215,TRUE,3,21,Amp,,0.880,N,N,N,N,N,N,N,N,N,N,N
266,L2,FALSE,TD02,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.158,0.955,1.405,26.958,26.963,0.121,,4.541,0.204,0.118,-0.212,TRUE,0.215,TRUE,3,21,Amp,,0.901,N,N,N,N,N,N,N,N,N,N,N
267,L3,FALSE,TD02,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.158,0.955,1.405,26.844,26.963,0.121,,4.541,0.204,0.118,-0.212,TRUE,0.215,TRUE,3,22,Amp,,0.899,N,N,N,N,N,N,N,N,N,N,N
268,L4,FALSE,TD03,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.180,0.936,1.487,26.306,26.110,0.171,,4.514,0.244,0.141,-0.239,TRUE,0.215,TRUE,3,21,Amp,,0.899,N,N,N,N,N,N,N,N,N,N,N
269,L5,FALSE,TD03,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.180,0.936,1.487,26.036,26.110,0.171,,4.514,0.244,0.141,-0.239,TRUE,0.215,TRUE,3,21,Amp,,0.933,N,N,N,N,N,N,N,N,N,N,N
270,L6,FALSE,TD03,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.180,0.936,1.487,25.988,26.110,0.171,,4.514,0.244,0.141,-0.239,TRUE,0.215,TRUE,3,21,Amp,,0.905,N,N,N,N,N,N,N,N,N,N,N
271,L7,FALSE,TD10,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.843,0.659,1.078,25.723,25.604,0.103,,5.000,0.260,0.150,0.247,TRUE,0.215,TRUE,3,20,Amp,,0.955,N,N,N,N,N,N,N,N,N,N,N
272,L8,FALSE,TD10,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.843,0.659,1.078,25.539,25.604,0.103,,5.000,0.260,0.150,0.247,TRUE,0.215,TRUE,3,19,Amp,,0.960,N,N,N,N,N,N,N,N,N,N,N
273,L9,FALSE,TD10,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.843,0.659,1.078,25.549,25.604,0.103,,5.000,0.260,0.150,0.247,TRUE,0.215,TRUE,3,21,Amp,,0.972,N,N,N,N,N,N,N,N,N,N,N
274,L10,FALSE,TD22,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.016,0.879,1.175,26.569,26.658,0.104,,4.729,0.153,0.088,-0.023,TRUE,0.215,TRUE,3,21,Amp,,0.931,N,N,N,N,N,N,N,N,N,N,N
275,L11,FALSE,TD22,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.016,0.879,1.175,26.773,26.658,0.104,,4.729,0.153,0.088,-0.023,TRUE,0.215,TRUE,3,20,Amp,,0.911,N,N,N,N,N,N,N,N,N,N,N
276,L12,FALSE,TD22,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.016,0.879,1.175,26.633,26.658,0.104,,4.729,0.153,0.088,-0.023,TRUE,0.215,TRUE,3,22,Amp,,0.897,N,N,N,N,N,N,N,N,N,N,N
277,L13,FALSE,GBA-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.718,1.213,2.431,25.907,25.879,0.058,,3.972,0.367,0.212,-0.780,TRUE,0.215,TRUE,3,21,Amp,,0.914,N,N,N,N,N,N,N,N,N,N,N
278,L14,FALSE,GBA-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.718,1.213,2.431,25.918,25.879,0.058,,3.972,0.367,0.212,-0.780,TRUE,0.215,TRUE,3,21,Amp,,0.912,N,N,N,N,N,N,N,N,N,N,N
279,L15,FALSE,GBA-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.718,1.213,2.431,25.812,25.879,0.058,,3.972,0.367,0.212,-0.780,TRUE,0.215,TRUE,3,20,Amp,,0.904,N,N,N,N,N,N,N,N,N,N,N
280,L16,FALSE,PARKIN-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.424,1.116,1.818,26.395,26.284,0.185,,4.243,0.258,0.149,-0.510,TRUE,0.215,TRUE,3,21,Amp,,0.908,N,N,N,N,N,N,N,N,N,N,N
281,L17,FALSE,PARKIN-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.424,1.116,1.818,26.387,26.284,0.185,,4.243,0.258,0.149,-0.510,TRUE,0.215,TRUE,3,20,Amp,,0.905,N,N,N,N,N,N,N,N,N,N,N
282,L18,FALSE,PARKIN-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.424,1.116,1.818,26.071,26.284,0.185,,4.243,0.258,0.149,-0.510,TRUE,0.215,TRUE,3,20,Amp,,0.919,N,N,N,N,N,N,N,N,N,N,N
283,L19,FALSE,SYN-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.205,1.061,1.369,26.547,26.631,0.091,,4.484,0.135,0.078,-0.269,TRUE,0.215,TRUE,3,21,Amp,,0.912,N,N,N,N,N,N,N,N,N,N,N
284,L20,FALSE,SYN-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.205,1.061,1.369,26.618,26.631,0.091,,4.484,0.135,0.078,-0.269,TRUE,0.215,TRUE,3,22,Amp,,0.885,N,N,N,N,N,N,N,N,N,N,N
285,L21,FALSE,SYN-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.205,1.061,1.369,26.728,26.631,0.091,,4.484,0.135,0.078,-0.269,TRUE,0.215,TRUE,3,19,Amp,,0.896,N,N,N,N,N,N,N,N,N,N,N
286,L22,FALSE,,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,,,,6.705,15.336,12.206,,,,,,TRUE,0.215,TRUE,3,6,No Amp,,0.566,Y,N,Y,Y,N,N,N,Y,N,Y,Y
287,L23,FALSE,,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,,,,23.966,15.336,12.206,,,,,,TRUE,0.215,TRUE,3,21,No Amp,,0.439,Y,N,Y,Y,Y,N,N,Y,N,Y,Y
288,L24,FALSE,,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,15.336,12.206,,,,,,TRUE,0.215,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,Y,N,Y,Y
289,M1,FALSE,TD02,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.747,1.393,2.191,21.014,20.824,0.174,,-1.598,0.239,0.138,-0.805,TRUE,0.167,TRUE,3,17,Amp,,0.784,Y,N,N,N,N,N,N,N,N,N,N
290,M2,FALSE,TD02,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.747,1.393,2.191,20.671,20.824,0.174,,-1.598,0.239,0.138,-0.805,TRUE,0.167,TRUE,3,17,Amp,,0.773,Y,N,N,N,N,N,N,N,N,N,N
291,M3,FALSE,TD02,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.747,1.393,2.191,20.787,20.824,0.174,,-1.598,0.239,0.138,-0.805,TRUE,0.167,TRUE,3,16,Amp,,0.812,N,N,N,N,N,N,N,N,N,N,N
