27,B3,FALSE,H9,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.679,1.472,25.599,25.828,0.252,,4.789,0.409,0.236,0.000,TRUE,0.388,TRUE,3,19,Amp,,0.868,N,N,N,N,N,N,N,N,N,N,N
28,B4,FALSE,AIW001-02,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.852,0.798,0.909,25.939,25.964,0.031,,5.019,0.069,0.040,0.231,TRUE,0.388,TRUE,3,20,Amp,,0.855,N,N,N,N,N,N,N,N,N,N,N
29,B5,FALSE,AIW001-02,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.852,0.798,0.909,25.956,25.964,0.031,,5.019,0.069,0.040,0.231,TRUE,0.388,TRUE,3,19,Amp,,0.891,N,N,N,N,N,N,N,N,N,N,N
30,B6,FALSE,AIW001-02,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.852,0.798,0.909,25.999,25.964,0.031,,5.019,0.069,0.040,0.231,TRUE,0.388,TRUE,3,20,Amp,,0.887,N,N,N,N,N,N,N,N,N,N,N
31,B7,FALSE,AIW002-2,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.916,0.631,1.330,25.444,25.140,0.269,,4.915,0.394,0.227,0.126,TRUE,0.388,TRUE,3,19,Amp,,0.920,N,N,N,N,N,N,N,N,N,N,N
32,B8,FALSE,AIW002-2,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.916,0.631,1.330,25.043,25.140,0.269,,4.915,0.394,0.227,0.126,TRUE,0.388,TRUE,3,19,Amp,,0.905,N,N,N,N,N,N,N,N,N,N,N
33,B9,FALSE,AIW002-2,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.916,0.631,1.330,24.932,25.140,0.269,,4.915,0.394,0.227,0.126,TRUE,0.388,TRUE,3,19,Amp,,0.885,N,N,N,N,N,N,N,N,N,N,N
34,B10,FALSE,AJC001-5,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.481,1.340,1.636,25.456,25.488,0.063,,4.222,0.105,0.061,-0.566,TRUE,0.388,TRUE,3,20,Amp,,0.939,N,N,N,N,N,N,N,N,N,N,N
35,B11,FALSE,AJC001-5,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.481,1.340,1.636,25.560,25.488,0.063,,4.222,0.105,0.061,-0.566,TRUE,0.388,TRUE,3,20,Amp,,0.899,N,N,N,N,N,N,N,N,N,N,N
36,B12,FALSE,AJC001-5,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.481,1.340,1.636,25.448,25.488,0.063,,4.222,0.105,0.061,-0.566,TRUE,0.388,TRUE,3,20,Amp,,0.909,N,N,N,N,N,N,N,N,N,N,N
37,B13,FALSE,AJD002-3,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.466,1.279,1.681,25.792,25.783,0.084,,4.237,0.144,0.083,-0.552,TRUE,0.388,TRUE,3,19,Amp,,0.934,N,N,N,N,N,N,N,N,N,N,N
38,B14,FALSE,AJD002-3,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.466,1.279,1.681,25.862,25.783,0.084,,4.237,0.144,0.083,-0.552,TRUE,0.388,TRUE,3,19,Amp,,0.944,N,N,N,N,N,N,N,N,N,N,N
39,B15,FALSE,AJD002-3,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.466,1.279,1.681,25.696,25.783,0.084,,4.237,0.144,0.083,-0.552,TRUE,0.388,TRUE,3,19,Amp,,0.925,N,N,N,N,N,N,N,N,N,N,N
40,B16,FALSE,AJG001-C4,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.049,0.838,1.313,25.630,25.436,0.198,,4.720,0.237,0.137,-0.069,TRUE,0.388,TRUE,3,19,Amp,,0.906,N,N,N,N,N,N,N,N,N,N,N
41,B17,FALSE,AJG001-C4,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.049,0.838,1.313,25.443,25.436,0.198,,4.720,0.237,0.137,-0.069,TRUE,0.388,TRUE,3,19,Amp,,0.919,N,N,N,N,N,N,N,N,N,N,N
42,B18,FALSE,AJG001-C4,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.049,0.838,1.313,25.235,25.436,0.198,,4.720,0.237,0.137,-0.069,TRUE,0.388,TRUE,3,19,Amp,,0.911,N,N,N,N,N,N,N,N,N,N,N
43,B19,FALSE,#3448,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.711,1.569,1.866,25.953,25.902,0.046,,4.014,0.091,0.053,-0.775,TRUE,0.388,TRUE,3,20,Amp,,0.901,N,N,N,N,N,N,N,N,N,N,N
44,B20,FALSE,#3448,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.711,1.569,1.866,25.865,25.902,0.046,,4.014,0.091,0.053,-0.775,TRUE,0.388,TRUE,3,20,Amp,,0.892,N,N,N,N,N,N,N,N,N,N,N
45,B21,FALSE,#3448,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.711,1.569,1.866,25.887,25.902,0.046,,4.014,0.091,0.053,-0.775,TRUE,0.388,TRUE,3,19,Amp,,0.896,N,N,N,N,N,N,N,N,N,N,N
46,B22,FALSE,#3450,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,2.216,1.203,4.082,26.056,25.424,0.551,,3.641,0.645,0.373,-1.148,TRUE,0.388,TRUE,3,20,Amp,,0.797,Y,N,N,Y,N,N,N,N,N,N,N
47,B23,FALSE,#3450,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,2.216,1.203,4.082,25.171,25.424,0.551,,3.641,0.645,0.373,-1.148,TRUE,0.388,TRUE,3,19,Amp,,0.874,N,N,N,Y,N,N,N,N,N,N,N
48,B24,FALSE,#3450,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,2.216,1.203,4.082,25.046,25.424,0.551,,3.641,0.645,0.373,-1.148,TRUE,0.388,TRUE,3,19,Amp,,0.897,N,N,N,Y,N,N,N,N,N,N,N
49,C1,FALSE,H9,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.651,1.535,24.582,24.359,0.319,,3.319,0.453,0.262,0.000,TRUE,0.226,TRUE,3,19,Amp,,0.889,N,N,N,N,N,N,N,N,N,N,N
50,C2,FALSE,H9,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.651,1.535,24.503,24.359,0.319,,3.319,0.453,0.262,0.000,TRUE,0.226,TRUE,3,19,Amp,,0.871,N,N,N,N,N,N,N,N,N,N,N
51,C3,FALSE,H9,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.651,1.535,23.993,24.359,0.319,,3.319,0.453,0.262,0.000,TRUE,0.226,TRUE,3,18,Amp,,0.877,N,N,N,N,N,N,N,N,N,N,N
52,C4,FALSE,AIW001-02,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.008,0.908,1.119,24.163,24.253,0.092,,3.308,0.110,0.064,-0.011,TRUE,0.226,TRUE,3,19,Amp,,0.884,N,N,N,N,N,N,N,N,N,N,N
53,C5,FALSE,AIW001-02,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.008,0.908,1.119,24.346,24.253,0.092,,3.308,0.110,0.064,-0.011,TRUE,0.226,TRUE,3,19,Amp,,0.896,N,N,N,N,N,N,N,N,N,N,N
54,C6,FALSE,AIW001-02,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.008,0.908,1.119,24.250,24.253,0.092,,3.308,0.110,0.064,-0.011,TRUE,0.226,TRUE,3,19,Amp,,0.896,N,N,N,N,N,N,N,N,N,N,N
55,C7,FALSE,AIW002-2,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.952,0.644,1.408,23.929,23.614,0.297,,3.390,0.413,0.238,0.070,TRUE,0.226,TRUE,3,19,Amp,,0.862,N,N,N,N,N,N,N,N,N,N,N
56,C8,FALSE,AIW002-2,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.952,0.644,1.408,23.575,23.614,0.297,,3.390,0.413,0.238,0.070,TRUE,0.226,TRUE,3,19,Amp,,0.849,N,N,N,N,N,N,N,N,N,N,N
57,C9,FALSE,AIW002-2,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.952,0.644,1.408,23.339,23.614,0.297,,3.390,0.413,0.238,0.070,TRUE,0.226,TRUE,3,18,Amp,,0.844,N,N,N,N,N,N,N,N,N,N,N
58,C10,FALSE,AJC001-5,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.217,1.071,1.383,24.390,24.301,0.105,,3.036,0.135,0.078,-0.284,TRUE,0.226,TRUE,3,19,Amp,,0.886,N,N,N,N,N,N,N,N,N,N,N
59,C11,FALSE,AJC001-5,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.217,1.071,1.383,24.329,24.301,0.105,,3.036,0.135,0.078,-0.284,TRUE,0.226,TRUE,3,19,Amp,,0.873,N,N,N,N,N,N,N,N,N,N,N
60,C12,FALSE,AJC001-5,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.217,1.071,1.383,24.185,24.301,0.105,,3.036,0.135,0.078,-0.284,TRUE,0.226,TRUE,3,18,Amp,,0.874,N,N,N,N,N,N,N,N,N,N,N
61,C13,FALSE,AJD002-3,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.300,1.100,1.535,24.551,24.488,0.131,,2.941,0.176,0.102,-0.378,TRUE,0.226,TRUE,3,20,Amp,,0.893,N,N,N,N,N,N,N,N,N,N,N
62,C14,FALSE,AJD002-3,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.300,1.100,1.535,24.575,24.488,0.131,,2.941,0.176,0.102,-0.378,TRUE,0.226,TRUE,3,19,Amp,,0.918,N,N,N,N,N,N,N,N,N,N,N
63,C15,FALSE,AJD002-3,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.300,1.100,1.535,24.338,24.488,0.131,,2.941,0.176,0.102,-0.378,TRUE,0.226,TRUE,3,19,Amp,,0.875,N,N,N,N,N,N,N,N,N,N,N
64,C16,FALSE,AJG001-C4,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.903,0.784,1.040,24.253,24.183,0.072,,3.467,0.150,0.086,0.147,TRUE,0.226,TRUE,3,20,Amp,,0.858,N,N,N,N,N,N,N,N,N,N,N
65,C17,FALSE,AJG001-C4,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.903,0.784,1.040,24.109,24.183,0.072,,3.467,0.150,0.086,0.147,TRUE,0.226,TRUE,3,19,Amp,,0.893,N,N,N,N,N,N,N,N,N,N,N
66,C18,FALSE,AJG001-C4,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.903,0.784,1.040,24.187,24.183,0.072,,3.467,0.150,0.086,0.147,TRUE,0.226,TRUE,3,19,Amp,,0.906,N,N,N,N,N,N,N,N,N,N,N
67,C19,FALSE,#3448,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.127,1.035,1.227,25.082,25.035,0.042,,3.147,0.090,0.052,-0.172,TRUE,0.226,TRUE,3,21,Amp,,0.909,N,N,N,N,N,N,N,N,N,N,N
68,C20,FALSE,#3448,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.127,1.035,1.227,25.020,25.035,0.042,,3.147,0.090,0.052,-0.172,TRUE,0.226,TRUE,3,19,Amp,,0.906,N,N,N,N,N,N,N,N,N,N,N
69,C21,FALSE,#3448,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.127,1.035,1.227,25.002,25.035,0.042,,3.147,0.090,0.052,-0.172,TRUE,0.226,TRUE,3,21,Amp,,0.901,N,N,N,N,N,N,N,N,N,N,N
70,C22,FALSE,#3450,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.002,0.640,1.567,25.479,25.101,0.332,,3.317,0.473,0.273,-0.002,TRUE,0.226,TRUE,3,21,Amp,,0.769,Y,N,N,N,N,N,N,N,N,N,N
71,C23,FALSE,#3450,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.002,0.640,1.567,24.965,25.101,0.332,,3.317,0.473,0.273,-0.002,TRUE,0.226,TRUE,3,20,Amp,,0.876,N,N,N,N,N,N,N,N,N,N,N
72,C24,FALSE,#3450,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.002,0.640,1.567,24.858,25.101,0.332,,3.317,0.473,0.273,-0.002,TRUE,0.226,TRUE,3,20,Amp,,0.897,N,N,N,N,N,N,N,N,N,N,N
73,D1,FALSE,H9,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.652,1.534,26.108,25.793,0.318,,4.753,0.452,0.261,0.000,TRUE,0.215,TRUE,3,21,Amp,,0.856,N,N,N,N,N,N,N,N,N,N,N
74,D2,FALSE,H9,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.652,1.534,25.799,25.793,0.318,,4.753,0.452,0.261,0.000,TRUE,0.215,TRUE,3,21,Amp,,0.864,N,N,N,N,N,N,N,N,N,N,N
75,D3,FALSE,H9,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.652,1.534,25.471,25.793,0.318,,4.753,0.452,0.261,0.000,TRUE,0.215,TRUE,3,21,Amp,,0.895,N,N,N,N,N,N,N,N,N,N,N
76,D4,FALSE,AIW001-02,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.771,0.713,0.835,26.033,26.072,0.057,,5.127,0.084,0.048,0.375,TRUE,0.215,TRUE,3,21,Amp,,0.881,N,N,N,N,N,N,N,N,N,N,N
77,D5,FALSE,AIW001-02,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.771,0.713,0.835,26.138,26.072,0.057,,5.127,0.084,0.048,0.375,TRUE,0.215,TRUE,3,22,Amp,,0.924,N,N,N,N,N,N,N,N,N,N,N
78,D6,FALSE,AIW001-02,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.771,0.713,0.835,26.046,26.072,0.057,,5.127,0.084,0.048,0.375,TRUE,0.215,TRUE,3,21,Amp,,0.907,N,N,N,N,N,N,N,N,N,N,N
