,Target Name,Sample Name,rq,rqMean,rqSD,rqSEM,Outliers,Indel
51,CHR10,GM25974,0.9588209475810848,0.9764679976542255,0.04435154072423408,0.025606373976111197,False,Normal
52,CHR10,GM25974,0.9436562566006117,0.9764679976542255,0.04435154072423408,0.025606373976111197,False,Normal
53,CHR10,GM25974,1.02692678878098,0.9764679976542255,0.04435154072423408,0.025606373976111197,False,Normal
54,CHR10,GM25952,1.045360100205171,0.9786347691055465,0.06093192730976406,0.03517906463453499,False,Normal
55,CHR10,GM25952,0.9259460225273289,0.9786347691055465,0.06093192730976406,0.03517906463453499,False,Normal
56,CHR10,GM25952,0.9645981845841394,0.9786347691055465,0.06093192730976406,0.03517906463453499,False,Normal
57,CHR10,Normal,1.0071882330697695,1.0000218170880208,0.008083995501500085,0.004667296978918798,False,Normal
58,CHR10,Normal,0.9912585661677225,1.0000218170880208,0.008083995501500085,0.004667296978918798,False,Normal
59,CHR10,Normal,1.001618652026571,1.0000218170880208,0.008083995501500085,0.004667296978918798,False,Normal
60,CHR12,GM25953,0.9358396977366951,0.9346326396824169,0.03819078760050205,0.02204946150171368,False,Normal
61,CHR12,GM25953,0.9722055892211025,0.9346326396824169,0.03819078760050205,0.02204946150171368,False,Normal
62,CHR12,GM25953,0.8958526320894533,0.9346326396824169,0.03819078760050205,0.02204946150171368,False,Normal
63,CHR12,GM25975,1.0932828263311214,1.093796790793527,0.005326968836409303,0.003075526891665659,False,Normal
64,CHR12,GM25975,1.0887454326642585,1.093796790793527,0.005326968836409303,0.003075526891665659,False,Normal
65,CHR12,GM25975,1.099362113385202,1.093796790793527,0.005326968836409303,0.003075526891665659,False,Normal
66,CHR12,GM25974,1.1297472145701242,1.1403850230158012,0.02260766517076494,0.013052541572090065,False,Normal
67,CHR12,GM25974,1.1663493697884675,1.1403850230158012,0.02260766517076494,0.013052541572090065,False,Normal
68,CHR12,GM25974,1.1250584846888125,1.1403850230158012,0.02260766517076494,0.013052541572090065,False,Normal
69,CHR12,GM25952,1.1357668166130845,1.0795983659269017,0.05318217450989432,0.030704742769377142,False,Normal
70,CHR12,GM25952,1.0730123392580302,1.0795983659269017,0.05318217450989432,0.030704742769377142,False,Normal
71,CHR12,GM25952,1.0300159419095902,1.0795983659269017,0.05318217450989432,0.030704742769377142,False,Normal
72,CHR12,Normal,1.0083524548945946,1.0000442737347408,0.011501981197767188,0.0066406719407449,False,Normal
73,CHR12,Normal,1.0048638204237856,1.0000442737347408,0.011501981197767188,0.0066406719407449,False,Normal
74,CHR12,Normal,0.9869165458858422,1.0000442737347408,0.011501981197767188,0.0066406719407449,False,Normal
75,CHR17,GM25953,0.8667372815437705,0.9214535761319281,0.053879073036633626,0.031107097321387934,False,Normal
76,CHR17,GM25953,0.9744544580928354,0.9214535761319281,0.053879073036633626,0.031107097321387934,False,Normal
77,CHR17,GM25953,0.9231689887591787,0.9214535761319281,0.053879073036633626,0.031107097321387934,False,Normal
78,CHR17,GM25975,1.0020816050796362,1.0606380821654102,0.06125711588290341,0.03536681234477439,False,Normal
79,CHR17,GM25975,1.0555537176379697,1.0606380821654102,0.06125711588290341,0.03536681234477439,False,Normal
80,CHR17,GM25975,1.1242789237786246,1.0606380821654102,0.06125711588290341,0.03536681234477439,False,Normal
81,CHR17,GM25974,1.1837244885898384,1.2197108485434225,0.04096770504578984,0.023652715536267955,False,Normal
82,CHR17,GM25974,1.2642951789219392,1.2197108485434225,0.04096770504578984,0.023652715536267955,False,Normal
83,CHR17,GM25974,1.2111128781184899,1.2197108485434225,0.04096770504578984,0.023652715536267955,False,Normal
84,CHR17,GM25952,0.866937563514692,1.0876196694684135,0.2016403144582095,0.11641708983192806,False,Normal
85,CHR17,GM25952,1.1336694127784268,1.0876196694684135,0.2016403144582095,0.11641708983192806,False,Normal
86,CHR17,GM25952,1.2622520321121216,1.0876196694684135,0.2016403144582095,0.11641708983192806,False,Normal
87,CHR17,Normal,0.9728797043877144,1.0007825284703298,0.0489140711588236,0.028240552150707313,False,Normal
88,CHR17,Normal,1.0572622918021757,1.0007825284703298,0.0489140711588236,0.028240552150707313,False,Normal
89,CHR17,Normal,0.9722055892210992,1.0007825284703298,0.0489140711588236,0.028240552150707313,False,Normal
90,CHR18,GM25953,0.9298049426131616,0.9379361212185741,0.02050620691405345,0.011839264081886925,False,Normal
91,CHR18,GM25953,0.9227424926537985,0.9379361212185741,0.02050620691405345,0.011839264081886925,False,Normal
92,CHR18,GM25953,0.9612609283887623,0.9379361212185741,0.02050620691405345,0.011839264081886925,False,Normal
93,CHR18,GM25975,0.9837293375096419,0.9908257460283015,0.02756785925932083,0.0159163109643506,False,Normal
94,CHR18,GM25975,0.9674998437211995,0.9908257460283015,0.02756785925932083,0.0159163109643506,False,Normal
95,CHR18,GM25975,1.0212480568540634,0.9908257460283015,0.02756785925932083,0.0159163109643506,False,Normal
96,CHR18,GM25974,0.9860048626761931,0.972114009403843,0.032100591208322746,0.018533284975271274,False,Normal
97,CHR18,GM25974,0.9354073478731213,0.972114009403843,0.032100591208322746,0.018533284975271274,False,Normal
98,CHR18,GM25974,0.9949298176622144,0.972114009403843,0.032100591208322746,0.018533284975271274,False,Normal
99,CHR18,GM25952,0.9878290720591575,0.9878600798588758,0.009586141169058001,0.005534561184445392,False,Normal
100,CHR18,GM25952,0.9782894802020037,0.9878600798588758,0.009586141169058001,0.005534561184445392,False,Normal
101,CHR18,GM25952,0.9974616873154662,0.9878600798588758,0.009586141169058001,0.005534561184445392,False,Normal
102,CHR18,Normal,1.0018501018118846,1.000078297384734,0.01531281464065789,0.008840857654834677,False,Normal
103,CHR18,Normal,1.0144281368342052,1.000078297384734,0.01531281464065789,0.008840857654834677,False,Normal
104,CHR18,Normal,0.983956653508112,1.000078297384734,0.01531281464065789,0.008840857654834677,False,Normal
105,CHR20,GM25953,0.9399570012362665,0.9917318702746464,0.04533628593875228,0.026174916890796478,False,Normal
106,CHR20,GM25953,1.0109184821007438,0.9917318702746464,0.04533628593875228,0.026174916890796478,False,Normal
107,CHR20,GM25953,1.024320127486929,0.9917318702746464,0.04533628593875228,0.026174916890796478,False,Normal
108,CHR20,GM25975,1.1041988471630932,1.1044667965350812,0.006512093182111329,0.0037597587516799025,False,Normal
109,CHR20,GM25975,1.0980928137870536,1.1044667965350812,0.006512093182111329,0.0037597587516799025,False,Normal
110,CHR20,GM25975,1.1111087286550971,1.1044667965350812,0.006512093182111329,0.0037597587516799025,False,Normal
111,CHR20,GM25974,0.9002098984181114,0.9272423737473958,0.025011132102485064,0.014440183852107043,False,Normal
112,CHR20,GM25974,0.9319557319270807,0.9272423737473958,0.025011132102485064,0.014440183852107043,False,Normal
113,CHR20,GM25974,0.9495614908969953,0.9272423737473958,0.025011132102485064,0.014440183852107043,False,Normal
114,CHR20,GM25952,0.8784304682383631,0.8743500094466911,0.021153329757399645,0.012212880629691607,False,Normal
115,CHR20,GM25952,0.8514537077489476,0.8743500094466911,0.021153329757399645,0.012212880629691607,False,Normal
116,CHR20,GM25952,0.8931658523527624,0.8743500094466911,0.021153329757399645,0.012212880629691607,False,Normal
117,CHR20,Normal,1.0390991584483382,1.0004606418669415,0.03722973995139601,0.02149460038279825,False,Normal
118,CHR20,Normal,0.9648210798370225,1.0004606418669415,0.03722973995139601,0.02149460038279825,False,Normal
119,CHR20,Normal,0.9974616873154638,1.0004606418669415,0.03722973995139601,0.02149460038279825,False,Normal
120,CHRX,GM25953,0.9432202955543045,0.9626878930004105,0.030378247397597646,0.01753888931251205,False,Normal
121,CHRX,GM25953,0.9976921765270229,0.9626878930004105,0.030378247397597646,0.01753888931251205,False,Normal
122,CHRX,GM25953,0.9471512069199043,0.9626878930004105,0.030378247397597646,0.01753888931251205,False,Normal
123,CHRX,GM25975,0.910669833591982,0.9310080485346033,0.018898468861446683,0.010911036084428003,False,Normal
124,CHRX,GM25975,0.9343273468831811,0.9310080485346033,0.018898468861446683,0.010911036084428003,False,Normal
125,CHRX,GM25975,0.9480269651286466,0.9310080485346033,0.018898468861446683,0.010911036084428003,False,Normal
126,CHRX,GM25974,0.9762572980513489,0.9746974641951921,0.007215666624374468,0.004165967067965197,False,Normal
127,CHRX,GM25974,0.9810056382364792,0.9746974641951921,0.007215666624374468,0.004165967067965197,False,Normal
128,CHRX,GM25974,0.9668294562977481,0.9746974641951921,0.007215666624374468,0.004165967067965197,False,Normal
129,CHRX,GM25952,1.0069555500567224,0.9851347447667407,0.06872509325547244,0.03967845109112915,False,Normal
130,CHRX,GM25952,1.0403002665219874,0.9851347447667407,0.06872509325547244,0.03967845109112915,False,Normal
131,CHRX,GM25952,0.9081484177215122,0.9851347447667407,0.06872509325547244,0.03967845109112915,False,Normal
132,CHRX,Normal,0.9762572980513464,1.0002450832846084,0.027187813942246872,0.015696891698233694,False,Normal
133,CHRX,Normal,1.02977798518513,1.0002450832846084,0.027187813942246872,0.015696891698233694,False,Normal
134,CHRX,Normal,0.994699966617348,1.0002450832846084,0.027187813942246872,0.015696891698233694,False,Normal
