,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,Region,T_R
49,NRXN3,R8bisGP,1.0177648871567118,1.0168811746578448,0.0012497582011364646,0.0008837124988670952,False,GP,GP_Cocaine
50,NRXN3,R8bisGP,,,,,True,GP,GP_Cocaine
51,NRXN3,V2GP,0.8506577250451379,0.8537529017281402,0.14652954925652345,0.08459887470748835,False,GP,GP_Cocaine
52,NRXN3,V2GP,0.7087954604075316,0.8537529017281402,0.14652954925652345,0.08459887470748835,False,GP,GP_Cocaine
53,NRXN3,V2GP,1.0018055197317512,0.8537529017281402,0.14652954925652345,0.08459887470748835,False,GP,GP_Cocaine
54,NRXN3,V8GP,0.9169529676578605,0.9486435256486199,0.044817216909702966,0.03169055799075937,False,GP,GP_Cocaine
55,NRXN3,V8GP,,,,,True,GP,GP_Cocaine
56,NRXN3,V8GP,0.9803340836393792,0.9486435256486199,0.044817216909702966,0.03169055799075937,False,GP,GP_Cocaine
57,NRXN3,B4bisSN,0.9709934735315444,0.7317138022721776,0.2655291672116612,0.15330333616734976,False,SN,SN_Control
58,NRXN3,B4bisSN,0.44604786076867287,0.7317138022721776,0.2655291672116612,0.15330333616734976,False,SN,SN_Control
59,NRXN3,B4bisSN,0.778100072516316,0.7317138022721776,0.2655291672116612,0.15330333616734976,False,SN,SN_Control
60,NRXN3,R6 SN,0.46847720659553826,0.8750942989546285,0.4046380788260678,0.23361790373460325,False,SN,SN_Control
61,NRXN3,R6 SN,1.277723892660847,0.8750942989546285,0.4046380788260678,0.23361790373460325,False,SN,SN_Control
62,NRXN3,R6 SN,0.8790817976075007,0.8750942989546285,0.4046380788260678,0.23361790373460325,False,SN,SN_Control
63,NRXN3,V3 SN,1.2684698036309745,1.1553414845004324,0.3097867986298227,0.17885549158032055,False,SN,SN_Control
64,NRXN3,V3 SN,0.8048907002593554,1.1553414845004324,0.3097867986298227,0.17885549158032055,False,SN,SN_Control
65,NRXN3,V3 SN,1.3926639496109672,1.1553414845004324,0.3097867986298227,0.17885549158032055,False,SN,SN_Control
66,NRXN3,V4 SN,,,,,True,SN,SN_Control
67,NRXN3,V4 SN,0.9842777731685058,0.8939890483697006,0.12768753913984243,0.09028872479880527,False,SN,SN_Control
68,NRXN3,V4 SN,0.8037003235708953,0.8939890483697006,0.12768753913984243,0.09028872479880527,False,SN,SN_Control
69,NRXN3,R5bis SN,,,,,True,SN,SN_Cocaine
70,NRXN3,R5bis SN,1.1159496327387197,1.2379328436516261,0.17251031125485017,0.12198321091290654,False,SN,SN_Cocaine
71,NRXN3,R5bis SN,1.3599160545645328,1.2379328436516261,0.17251031125485017,0.12198321091290654,False,SN,SN_Cocaine
72,NRXN3,R6bisSN,1.3117315573770492,1.001639344262295,0.31421754474427577,0.1814135840422109,False,SN,SN_Cocaine
73,NRXN3,R6bisSN,0.683452868852459,1.001639344262295,0.31421754474427577,0.1814135840422109,False,SN,SN_Cocaine
74,NRXN3,R6bisSN,1.0097336065573772,1.001639344262295,0.31421754474427577,0.1814135840422109,False,SN,SN_Cocaine
75,NRXN3,R8bisSN,0.43009404388714734,0.43931930138826686,0.05676742773389548,0.032774689683367185,False,SN,SN_Cocaine
76,NRXN3,R8bisSN,0.5001343484102104,0.43931930138826686,0.05676742773389548,0.032774689683367185,False,SN,SN_Cocaine
77,NRXN3,R8bisSN,0.38772951186744287,0.43931930138826686,0.05676742773389548,0.032774689683367185,False,SN,SN_Cocaine
78,NRXN3,V2SN,1.0424116424116423,1.0196119196119195,0.14490664375873114,0.08366188978146863,False,SN,SN_Cocaine
79,NRXN3,V2SN,0.8646569646569646,1.0196119196119195,0.14490664375873114,0.08366188978146863,False,SN,SN_Cocaine
80,NRXN3,V2SN,1.1517671517671517,1.0196119196119195,0.14490664375873114,0.08366188978146863,False,SN,SN_Cocaine
81,NRXN3,V8SN,,,,,True,SN,SN_Cocaine
82,NRXN3,V8SN,2.3158902361199742,2.2978621569878745,0.02549555401215045,0.018028079132099473,False,SN,SN_Cocaine
83,NRXN3,V8SN,2.2798340778557753,2.2978621569878745,0.02549555401215045,0.018028079132099473,False,SN,SN_Cocaine
84,B2M,B4bisNST,,,,,True,STN,NST_Control
85,B2M,B4bisNST,1.0285484519501407,1.0,0.04037360793264563,0.02854845195014071,False,STN,NST_Control
86,B2M,B4bisNST,0.9714515480498592,1.0,0.04037360793264563,0.02854845195014071,False,STN,NST_Control
87,B2M,B6NST,,,,,True,STN,NST_Control
88,B2M,B6NST,1.0405656866393747,1.0,0.05736854421238077,0.0405656866393747,False,STN,NST_Control
89,B2M,B6NST,0.9594343133606252,1.0,0.05736854421238077,0.0405656866393747,False,STN,NST_Control
90,B2M,R6 NST,0.8461909353905497,1.0000000000000002,0.1495487316710766,0.08634200048726319,False,STN,NST_Control
91,B2M,R6 NST,1.008919961427194,1.0000000000000002,0.1495487316710766,0.08634200048726319,False,STN,NST_Control
