13,A13,FALSE,GM25974,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,26.75,26.753,0.015,,,,,,TRUE,0.255,TRUE,3,21,Amp,,0.975,N,N,N,N,N,N,N,N
14,A14,FALSE,GM25974,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,26.77,26.753,0.015,,,,,,TRUE,0.255,TRUE,3,21,Amp,,0.983,N,N,N,N,N,N,N,N
15,A15,FALSE,GM25974,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,26.741,26.753,0.015,,,,,,TRUE,0.255,TRUE,3,21,Amp,,0.976,N,N,N,N,N,N,N,N
16,A16,FALSE,GM25952,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,27.367,27.275,0.087,,,,,,TRUE,0.255,TRUE,3,22,Amp,,0.974,N,N,N,N,N,N,N,N
17,A17,FALSE,GM25952,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,27.263,27.275,0.087,,,,,,TRUE,0.255,TRUE,3,22,Amp,,0.978,N,N,N,N,N,N,N,N
18,A18,FALSE,GM25952,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,27.194,27.275,0.087,,,,,,TRUE,0.255,TRUE,3,22,Amp,,0.971,N,N,N,N,N,N,N,N
19,A19,FALSE,AIW001-02 P4+P7,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,34.453,34.006,0.427,,,,,,TRUE,0.255,TRUE,3,29,Amp,,0.961,N,N,N,N,N,N,N,N
20,A20,FALSE,AIW001-02 P4+P7,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,33.963,34.006,0.427,,,,,,TRUE,0.255,TRUE,3,28,Amp,,0.965,N,N,N,N,N,N,N,N
21,A21,FALSE,AIW001-02 P4+P7,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,33.602,34.006,0.427,,,,,,TRUE,0.255,TRUE,3,28,Amp,,0.971,N,N,N,N,N,N,N,N
22,A22,FALSE,3450-C WT,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,26.172,26.118,0.062,,,,,,TRUE,0.255,TRUE,3,20,Amp,,0.978,N,N,N,N,N,N,N,N
23,A23,FALSE,3450-C WT,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,26.131,26.118,0.062,,,,,,TRUE,0.255,TRUE,3,20,Amp,,0.977,N,N,N,N,N,N,N,N
24,A24,FALSE,3450-C WT,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,26.05,26.118,0.062,,,,,,TRUE,0.255,TRUE,3,20,Amp,,0.974,N,N,N,N,N,N,N,N
25,B1,FALSE,Normal,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1,0.944,1.06,24.874,24.903,0.024,,0.148,0.052,0.03,0,TRUE,0.258,TRUE,3,19,Amp,,0.992,N,N,N,N,N,N,N,N
26,B2,FALSE,Normal,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1,0.944,1.06,24.916,24.903,0.024,,0.148,0.052,0.03,0,TRUE,0.258,TRUE,3,19,Amp,,0.979,N,N,N,N,N,N,N,N
