193,I1,FALSE,3450-C 5A-KO-SA3,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,27.245,27.267,0.061,,,,,,TRUE,0.255,TRUE,3,21,Amp,,0.974,N,N,N,N,N,N,N,N
194,I2,FALSE,3450-C 5A-KO-SA3,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,27.221,27.267,0.061,,,,,,TRUE,0.255,TRUE,3,21,Amp,,0.979,N,N,N,N,N,N,N,N
195,I3,FALSE,3450-C 5A-KO-SA3,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,27.337,27.267,0.061,,,,,,TRUE,0.255,TRUE,3,22,Amp,,0.969,N,N,N,N,N,N,N,N
196,I4,FALSE,3450-C 5A-KO-5A1,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,26.86,26.801,0.064,,,,,,TRUE,0.255,TRUE,3,21,Amp,,0.968,N,N,N,N,N,N,N,N
197,I5,FALSE,3450-C 5A-KO-5A1,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,26.809,26.801,0.064,,,,,,TRUE,0.255,TRUE,3,21,Amp,,0.98,N,N,N,N,N,N,N,N
198,I6,FALSE,3450-C 5A-KO-5A1,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,26.733,26.801,0.064,,,,,,TRUE,0.255,TRUE,3,21,Amp,,0.973,N,N,N,N,N,N,N,N
199,I7,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,28.367,28.344,0.059,,,,,,TRUE,0.255,TRUE,3,22,Amp,,0.973,N,N,N,N,N,N,N,N
200,I8,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,28.277,28.344,0.059,,,,,,TRUE,0.255,TRUE,3,22,Amp,,0.97,N,N,N,N,N,N,N,N
201,I9,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,28.388,28.344,0.059,,,,,,TRUE,0.255,TRUE,3,22,Amp,,0.97,N,N,N,N,N,N,N,N
202,I10,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,28.322,28.331,0.096,,,,,,TRUE,0.255,TRUE,3,23,Amp,,0.97,N,N,N,N,N,N,N,N
203,I11,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,28.431,28.331,0.096,,,,,,TRUE,0.255,TRUE,3,22,Amp,,0.974,N,N,N,N,N,N,N,N
204,I12,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,28.239,28.331,0.096,,,,,,TRUE,0.255,TRUE,3,22,Amp,,0.968,N,N,N,N,N,N,N,N
205,I13,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,27.063,27.046,0.031,,,,,,TRUE,0.255,TRUE,3,21,Amp,,0.968,N,N,N,N,N,N,N,N
206,I14,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,27.011,27.046,0.031,,,,,,TRUE,0.255,TRUE,3,21,Amp,,0.969,N,N,N,N,N,N,N,N
207,I15,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,27.065,27.046,0.031,,,,,,TRUE,0.255,TRUE,3,21,Amp,,0.968,N,N,N,N,N,N,N,N
208,I16,FALSE,AIW001-02,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.359,29.387,0.024,,,,,,TRUE,0.258,TRUE,3,23,Amp,,0.987,N,N,N,N,N,N,N,N
209,I17,FALSE,AIW001-02,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.398,29.387,0.024,,,,,,TRUE,0.258,TRUE,3,24,Amp,,0.985,N,N,N,N,N,N,N,N
210,I18,FALSE,AIW001-02,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.404,29.387,0.024,,,,,,TRUE,0.258,TRUE,3,24,Amp,,0.991,N,N,N,N,N,N,N,N
211,I19,FALSE,Normal,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1,0.911,1.098,24.794,24.753,0.07,,#FIELD!,0.084,0.048,0,TRUE,0.247,TRUE,3,19,Amp,,0.992,N,N,N,N,N,N,N,N
212,I20,FALSE,Normal,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1,0.911,1.098,24.793,24.753,0.07,,#FIELD!,0.084,0.048,0,TRUE,0.247,TRUE,3,19,Amp,,0.99,N,N,N,N,N,N,N,N
213,I21,FALSE,Normal,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1,0.911,1.098,24.673,24.753,0.07,,#FIELD!,0.084,0.048,0,TRUE,0.247,TRUE,3,19,Amp,,0.989,N,N,N,N,N,N,N,N
214,I22,FALSE,fxs,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.113,0.913,1.357,28.685,28.555,0.116,,#FIELD!,0.178,0.103,#FIELD!,TRUE,0.247,TRUE,3,23,Amp,,0.985,N,N,N,N,N,N,N,N
215,I23,FALSE,fxs,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.113,0.913,1.357,28.519,28.555,0.116,,#FIELD!,0.178,0.103,#FIELD!,TRUE,0.247,TRUE,3,23,Amp,,0.983,N,N,N,N,N,N,N,N
216,I24,FALSE,fxs,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.113,0.913,1.357,28.461,28.555,0.116,,#FIELD!,0.178,0.103,#FIELD!,TRUE,0.247,TRUE,3,23,Amp,,0.992,N,N,N,N,N,N,N,N
217,J1,FALSE,3450-C 5A-KO-SA3,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,0.996,0.921,1.078,27.393,27.421,0.036,,0.153,0.071,0.041,0.006,TRUE,0.258,TRUE,3,21,Amp,,0.988,N,N,N,N,N,N,N,N
218,J2,FALSE,3450-C 5A-KO-SA3,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,0.996,0.921,1.078,27.408,27.421,0.036,,0.153,0.071,0.041,0.006,TRUE,0.258,TRUE,3,22,Amp,,0.984,N,N,N,N,N,N,N,N
219,J3,FALSE,3450-C 5A-KO-SA3,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,0.996,0.921,1.078,27.461,27.421,0.036,,0.153,0.071,0.041,0.006,TRUE,0.258,TRUE,3,22,Amp,,0.982,N,N,N,N,N,N,N,N
220,J4,FALSE,3450-C 5A-KO-5A1,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.056,0.965,1.155,26.845,26.87,0.049,,0.07,0.081,0.047,#FIELD!,TRUE,0.258,TRUE,3,21,Amp,,0.986,N,N,N,N,N,N,N,N
221,J5,FALSE,3450-C 5A-KO-5A1,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.056,0.965,1.155,26.926,26.87,0.049,,0.07,0.081,0.047,#FIELD!,TRUE,0.258,TRUE,3,21,Amp,,0.99,N,N,N,N,N,N,N,N
222,J6,FALSE,3450-C 5A-KO-5A1,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.056,0.965,1.155,26.839,26.87,0.049,,0.07,0.081,0.047,#FIELD!,TRUE,0.258,TRUE,3,20,Amp,,0.993,N,N,N,N,N,N,N,N
223,J7,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.042,0.918,1.182,28.382,28.433,0.097,,0.089,0.114,0.066,#FIELD!,TRUE,0.258,TRUE,3,23,Amp,,0.987,N,N,N,N,N,N,N,N
224,J8,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.042,0.918,1.182,28.545,28.433,0.097,,0.089,0.114,0.066,#FIELD!,TRUE,0.258,TRUE,3,23,Amp,,0.986,N,N,N,N,N,N,N,N
225,J9,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.042,0.918,1.182,28.373,28.433,0.097,,0.089,0.114,0.066,#FIELD!,TRUE,0.258,TRUE,3,22,Amp,,0.984,N,N,N,N,N,N,N,N
226,J10,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.121,0.986,1.274,28.279,28.314,0.064,,#FIELD!,0.115,0.067,#FIELD!,TRUE,0.258,TRUE,3,22,Amp,,0.982,N,N,N,N,N,N,N,N
227,J11,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.121,0.986,1.274,28.276,28.314,0.064,,#FIELD!,0.115,0.067,#FIELD!,TRUE,0.258,TRUE,3,22,Amp,,0.976,N,N,N,N,N,N,N,N
228,J12,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.121,0.986,1.274,28.388,28.314,0.064,,#FIELD!,0.115,0.067,#FIELD!,TRUE,0.258,TRUE,3,23,Amp,,0.963,N,N,N,N,N,N,N,N
229,J13,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.026,0.987,1.066,27.164,27.158,0.016,,0.111,0.035,0.02,#FIELD!,TRUE,0.258,TRUE,3,22,Amp,,0.975,N,N,N,N,N,N,N,N
230,J14,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.026,0.987,1.066,27.17,27.158,0.016,,0.111,0.035,0.02,#FIELD!,TRUE,0.258,TRUE,3,21,Amp,,0.979,N,N,N,N,N,N,N,N
231,J15,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.026,0.987,1.066,27.14,27.158,0.016,,0.111,0.035,0.02,#FIELD!,TRUE,0.258,TRUE,3,21,Amp,,0.976,N,N,N,N,N,N,N,N
232,J16,FALSE,AIW001-05,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.375,29.459,0.074,,,,,,TRUE,0.258,TRUE,3,23,Amp,,0.987,N,N,N,N,N,N,N,N
233,J17,FALSE,AIW001-05,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.491,29.459,0.074,,,,,,TRUE,0.258,TRUE,3,24,Amp,,0.988,N,N,N,N,N,N,N,N
234,J18,FALSE,AIW001-05,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.512,29.459,0.074,,,,,,TRUE,0.258,TRUE,3,23,Amp,,0.989,N,N,N,N,N,N,N,N
235,J19,FALSE,GM25953,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.961,0.865,1.067,27.465,27.378,0.085,,0.056,0.094,0.054,0.058,TRUE,0.247,TRUE,3,22,Amp,,0.984,N,N,N,N,N,N,N,N
236,J20,FALSE,GM25953,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.961,0.865,1.067,27.296,27.378,0.085,,0.056,0.094,0.054,0.058,TRUE,0.247,TRUE,3,21,Amp,,0.979,N,N,N,N,N,N,N,N
237,J21,FALSE,GM25953,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.961,0.865,1.067,27.374,27.378,0.085,,0.056,0.094,0.054,0.058,TRUE,0.247,TRUE,3,21,Amp,,0.988,N,N,N,N,N,N,N,N
238,J22,FALSE,GM25975,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.051,0.942,1.172,26.823,26.743,0.083,,#FIELD!,0.098,0.057,#FIELD!,TRUE,0.247,TRUE,3,20,Amp,,0.989,N,N,N,N,N,N,N,N
239,J23,FALSE,GM25975,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.051,0.942,1.172,26.748,26.743,0.083,,#FIELD!,0.098,0.057,#FIELD!,TRUE,0.247,TRUE,3,20,Amp,,0.991,N,N,N,N,N,N,N,N
240,J24,FALSE,GM25975,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.051,0.942,1.172,26.657,26.743,0.083,,#FIELD!,0.098,0.057,#FIELD!,TRUE,0.247,TRUE,3,21,Amp,,0.991,N,N,N,N,N,N,N,N
241,K1,FALSE,3450-C 5A-KO-SA3,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.029,0.94,1.127,27.106,27.156,0.054,,#FIELD!,0.081,0.047,#FIELD!,TRUE,0.271,TRUE,3,21,Amp,,0.983,N,N,N,N,N,N,N,N
242,K2,FALSE,3450-C 5A-KO-SA3,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.029,0.94,1.127,27.149,27.156,0.054,,#FIELD!,0.081,0.047,#FIELD!,TRUE,0.271,TRUE,3,21,Amp,,0.986,N,N,N,N,N,N,N,N
243,K3,FALSE,3450-C 5A-KO-SA3,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.029,0.94,1.127,27.213,27.156,0.054,,#FIELD!,0.081,0.047,#FIELD!,TRUE,0.271,TRUE,3,22,Amp,,0.982,N,N,N,N,N,N,N,N
244,K4,FALSE,3450-C 5A-KO-5A1,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.122,0.958,1.314,26.571,26.564,0.127,,#FIELD!,0.142,0.082,#FIELD!,TRUE,0.271,TRUE,3,21,Amp,,0.983,N,N,N,N,N,N,N,N
245,K5,FALSE,3450-C 5A-KO-5A1,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.122,0.958,1.314,26.688,26.564,0.127,,#FIELD!,0.142,0.082,#FIELD!,TRUE,0.271,TRUE,3,20,Amp,,0.983,N,N,N,N,N,N,N,N
246,K6,FALSE,3450-C 5A-KO-5A1,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.122,0.958,1.314,26.434,26.564,0.127,,#FIELD!,0.142,0.082,#FIELD!,TRUE,0.271,TRUE,3,20,Amp,,0.981,N,N,N,N,N,N,N,N
247,K7,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.015,0.926,1.113,28.19,28.252,0.058,,#FIELD!,0.083,0.048,#FIELD!,TRUE,0.271,TRUE,3,23,Amp,,0.988,N,N,N,N,N,N,N,N
248,K8,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.015,0.926,1.113,28.262,28.252,0.058,,#FIELD!,0.083,0.048,#FIELD!,TRUE,0.271,TRUE,3,22,Amp,,0.985,N,N,N,N,N,N,N,N
249,K9,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.015,0.926,1.113,28.304,28.252,0.058,,#FIELD!,0.083,0.048,#FIELD!,TRUE,0.271,TRUE,3,23,Amp,,0.982,N,N,N,N,N,N,N,N
250,K10,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.113,0.958,1.294,28.018,28.106,0.096,,#FIELD!,0.135,0.078,#FIELD!,TRUE,0.271,TRUE,3,22,Amp,,0.973,N,N,N,N,N,N,N,N
251,K11,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.113,0.958,1.294,28.207,28.106,0.096,,#FIELD!,0.135,0.078,#FIELD!,TRUE,0.271,TRUE,3,22,Amp,,0.979,N,N,N,N,N,N,N,N
252,K12,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.113,0.958,1.294,28.092,28.106,0.096,,#FIELD!,0.135,0.078,#FIELD!,TRUE,0.271,TRUE,3,22,Amp,,0.98,N,N,N,N,N,N,N,N
253,K13,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.055,1.018,1.094,26.907,26.898,0.009,,#FIELD!,0.032,0.019,#FIELD!,TRUE,0.271,TRUE,3,21,Amp,,0.98,N,N,N,N,N,N,N,N
254,K14,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.055,1.018,1.094,26.9,26.898,0.009,,#FIELD!,0.032,0.019,#FIELD!,TRUE,0.271,TRUE,3,21,Amp,,0.974,N,N,N,N,N,N,N,N
255,K15,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.055,1.018,1.094,26.888,26.898,0.009,,#FIELD!,0.032,0.019,#FIELD!,TRUE,0.271,TRUE,3,21,Amp,,0.972,N,N,N,N,N,N,N,N
256,K16,FALSE,AIW001-10,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,,,,30.808,30.824,0.062,,,,,,TRUE,0.258,TRUE,3,25,Amp,,0.989,N,N,N,N,N,N,N,N
257,K17,FALSE,AIW001-10,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,,,,30.893,30.824,0.062,,,,,,TRUE,0.258,TRUE,3,23,Amp,,0.986,N,N,N,N,N,N,N,N
258,K18,FALSE,AIW001-10,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,,,,30.771,30.824,0.062,,,,,,TRUE,0.258,TRUE,3,25,Amp,,0.987,N,N,N,N,N,N,N,N
259,K19,FALSE,GM25974,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.188,1.123,1.256,26.546,26.504,0.048,,#FIELD!,0.05,0.029,#FIELD!,TRUE,0.247,TRUE,3,21,Amp,,0.978,N,N,N,N,N,N,N,N
260,K20,FALSE,GM25974,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.188,1.123,1.256,26.451,26.504,0.048,,#FIELD!,0.05,0.029,#FIELD!,TRUE,0.247,TRUE,3,21,Amp,,0.968,N,N,N,N,N,N,N,N
261,K21,FALSE,GM25974,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.188,1.123,1.256,26.513,26.504,0.048,,#FIELD!,0.05,0.029,#FIELD!,TRUE,0.247,TRUE,3,20,Amp,,0.968,N,N,N,N,N,N,N,N
262,K22,FALSE,GM25952,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.118,0.808,1.547,27.422,27.112,0.279,,#FIELD!,0.292,0.169,#FIELD!,TRUE,0.247,TRUE,3,21,Amp,,0.969,N,N,N,N,N,N,N,N
263,K23,FALSE,GM25952,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.118,0.808,1.547,27.035,27.112,0.279,,#FIELD!,0.292,0.169,#FIELD!,TRUE,0.247,TRUE,3,21,Amp,,0.979,N,N,N,N,N,N,N,N
264,K24,FALSE,GM25952,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.118,0.808,1.547,26.88,27.112,0.279,,#FIELD!,0.292,0.169,#FIELD!,TRUE,0.247,TRUE,3,21,Amp,,0.971,N,N,N,N,N,N,N,N
265,L1,FALSE,3450-C 5A-KO-SA3,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.989,0.922,1.061,27.395,27.412,0.015,,0.145,0.063,0.036,0.016,TRUE,0.332,TRUE,3,21,Amp,,0.987,N,N,N,N,N,N,N,N
266,L2,FALSE,3450-C 5A-KO-SA3,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.989,0.922,1.061,27.418,27.412,0.015,,0.145,0.063,0.036,0.016,TRUE,0.332,TRUE,3,22,Amp,,0.983,N,N,N,N,N,N,N,N
267,L3,FALSE,3450-C 5A-KO-SA3,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.989,0.922,1.061,27.424,27.412,0.015,,0.145,0.063,0.036,0.016,TRUE,0.332,TRUE,3,22,Amp,,0.986,N,N,N,N,N,N,N,N
268,L4,FALSE,3450-C 5A-KO-5A1,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.022,0.934,1.119,26.952,26.897,0.051,,0.097,0.082,0.047,#FIELD!,TRUE,0.332,TRUE,3,21,Amp,,0.992,N,N,N,N,N,N,N,N
269,L5,FALSE,3450-C 5A-KO-5A1,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.022,0.934,1.119,26.888,26.897,0.051,,0.097,0.082,0.047,#FIELD!,TRUE,0.332,TRUE,3,20,Amp,,0.99,N,N,N,N,N,N,N,N
270,L6,FALSE,3450-C 5A-KO-5A1,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.022,0.934,1.119,26.852,26.897,0.051,,0.097,0.082,0.047,#FIELD!,TRUE,0.332,TRUE,3,20,Amp,,0.988,N,N,N,N,N,N,N,N
271,L7,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.047,0.978,1.12,28.411,28.407,0.016,,0.063,0.061,0.035,#FIELD!,TRUE,0.332,TRUE,3,22,Amp,,0.991,N,N,N,N,N,N,N,N
272,L8,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.047,0.978,1.12,28.42,28.407,0.016,,0.063,0.061,0.035,#FIELD!,TRUE,0.332,TRUE,3,22,Amp,,0.984,N,N,N,N,N,N,N,N
273,L9,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.047,0.978,1.12,28.389,28.407,0.016,,0.063,0.061,0.035,#FIELD!,TRUE,0.332,TRUE,3,22,Amp,,0.988,N,N,N,N,N,N,N,N
274,L10,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.081,0.951,1.228,28.323,28.347,0.064,,0.017,0.115,0.067,#FIELD!,TRUE,0.332,TRUE,3,21,Amp,,0.985,N,N,N,N,N,N,N,N
275,L11,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.081,0.951,1.228,28.299,28.347,0.064,,0.017,0.115,0.067,#FIELD!,TRUE,0.332,TRUE,3,22,Amp,,0.985,N,N,N,N,N,N,N,N
276,L12,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.081,0.951,1.228,28.42,28.347,0.064,,0.017,0.115,0.067,#FIELD!,TRUE,0.332,TRUE,3,22,Amp,,0.968,N,N,N,N,N,N,N,N
277,L13,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.973,0.866,1.092,27.301,27.215,0.1,,0.168,0.104,0.06,0.04,TRUE,0.332,TRUE,3,20,Amp,,0.985,N,N,N,N,N,N,N,N
278,L14,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.973,0.866,1.092,27.238,27.215,0.1,,0.168,0.104,0.06,0.04,TRUE,0.332,TRUE,3,21,Amp,,0.976,N,N,N,N,N,N,N,N
279,L15,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.973,0.866,1.092,27.105,27.215,0.1,,0.168,0.104,0.06,0.04,TRUE,0.332,TRUE,3,21,Amp,,0.976,N,N,N,N,N,N,N,N
280,L16,FALSE,AIW001-02,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.159,29.212,0.065,,,,,,TRUE,0.302,TRUE,3,23,Amp,,0.988,N,N,N,N,N,N,N,N
281,L17,FALSE,AIW001-02,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.192,29.212,0.065,,,,,,TRUE,0.302,TRUE,3,23,Amp,,0.986,N,N,N,N,N,N,N,N
282,L18,FALSE,AIW001-02,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.284,29.212,0.065,,,,,,TRUE,0.302,TRUE,3,22,Amp,,0.984,N,N,N,N,N,N,N,N
283,L19,FALSE,AIW001-02 P4+P7,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.07,0.035,0.138,38.051,37.844,0.436,,3.837,0.61,0.352,3.839,TRUE,0.247,TRUE,3,31,Inconclusive,,0.776,N,Y,N,N,N,N,N,N
284,L20,FALSE,AIW001-02 P4+P7,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.07,0.035,0.138,37.343,37.844,0.436,,3.837,0.61,0.352,3.839,TRUE,0.247,TRUE,3,30,Amp,,0.785,N,Y,N,N,N,N,N,N
285,L21,FALSE,AIW001-02 P4+P7,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.07,0.035,0.138,38.137,37.844,0.436,,3.837,0.61,0.352,3.839,TRUE,0.247,TRUE,3,32,Inconclusive,,0.715,N,Y,N,N,N,N,N,N
286,L22,FALSE,3450-C WT,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.928,0.844,1.022,26.29,26.223,0.059,,0.106,0.086,0.05,0.107,TRUE,0.247,TRUE,3,20,Amp,,0.989,N,N,N,N,N,N,N,N
287,L23,FALSE,3450-C WT,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.928,0.844,1.022,26.2,26.223,0.059,,0.106,0.086,0.05,0.107,TRUE,0.247,TRUE,3,20,Amp,,0.964,N,N,N,N,N,N,N,N
288,L24,FALSE,3450-C WT,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.928,0.844,1.022,26.178,26.223,0.059,,0.106,0.086,0.05,0.107,TRUE,0.247,TRUE,3,20,Amp,,0.969,N,N,N,N,N,N,N,N
289,M1,FALSE,3450-C 5A-KO-SA3,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.113,1.04,1.192,27.589,27.594,0.006,,0.327,0.061,0.035,#FIELD!,TRUE,0.289,TRUE,3,22,Amp,,0.988,N,N,N,N,N,N,N,N
290,M2,FALSE,3450-C 5A-KO-SA3,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.113,1.04,1.192,27.6,27.594,0.006,,0.327,0.061,0.035,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.976,N,N,N,N,N,N,N,N
291,M3,FALSE,3450-C 5A-KO-SA3,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.113,1.04,1.192,27.593,27.594,0.006,,0.327,0.061,0.035,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.977,N,N,N,N,N,N,N,N
292,M4,FALSE,3450-C 5A-KO-5A1,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.218,1.122,1.323,27.005,26.997,0.038,,0.197,0.074,0.043,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.979,N,N,N,N,N,N,N,N
293,M5,FALSE,3450-C 5A-KO-5A1,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.218,1.122,1.323,27.03,26.997,0.038,,0.197,0.074,0.043,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.979,N,N,N,N,N,N,N,N
294,M6,FALSE,3450-C 5A-KO-5A1,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.218,1.122,1.323,26.956,26.997,0.038,,0.197,0.074,0.043,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.981,N,N,N,N,N,N,N,N
