Remove if std > 0.2,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,Preserve if highly variable,,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers
26,B2M,V2NST,,,,,True,,26,B2M,V2NST,,,,,True
27,B2M,V8NST,1.1251056635672,1,0.176926126146423,0.125105663567202,False,,27,B2M,V8NST,0.874894336432798,1,0.176926126146423,0.125105663567202,False
28,B2M,V8NST,0.874894336432798,1,0.176926126146423,0.125105663567202,False,,28,B2M,V8NST,1.1251056635672,1,0.176926126146423,0.125105663567202,False
29,B2M,V8NST,,,,,True,,29,B2M,V8NST,,,,,True
30,B2M,B4bisGP,,,,,True,,30,B2M,B4bisGP,,,,,True
31,B2M,B4bisGP,0.988908347927612,1,0.015685964789894,0.011091652072388,False,,31,B2M,B4bisGP,0.988908347927612,1,0.015685964789894,0.011091652072388,False
32,B2M,B4bisGP,1.01109165207239,1,0.015685964789894,0.011091652072388,False,,32,B2M,B4bisGP,1.01109165207239,1,0.015685964789894,0.011091652072388,False
33,B2M,R6 GP,,,,,True,,33,B2M,R6 GP,,,,,True
34,B2M,R6 GP,1.07840205084384,1,0.110877243621219,0.078402050843837,False,,34,B2M,R6 GP,1.07840205084384,1,0.110877243621219,0.078402050843837,False
35,B2M,R6 GP,0.921597949156163,1,0.110877243621219,0.078402050843837,False,,35,B2M,R6 GP,0.921597949156163,1,0.110877243621219,0.078402050843837,False
36,B2M,V3 GP,,,,,True,,36,B2M,V3 GP,,,,,True
37,B2M,V3 GP,1.01526805188842,1,0.021592286051615,0.015268051888417,False,,37,B2M,V3 GP,0.984731948111583,1,0.021592286051615,0.015268051888417,False
38,B2M,V3 GP,0.984731948111583,1,0.021592286051615,0.015268051888417,False,,38,B2M,V3 GP,1.01526805188842,1,0.021592286051615,0.015268051888417,False
39,B2M,V4 GP,,,,,True,,39,B2M,V4 GP,,,,,True
40,B2M,V4 GP,1.02525773195876,1,0.035719827090867,0.025257731958763,False,,40,B2M,V4 GP,0.974742268041237,1,0.035719827090867,0.025257731958763,False
41,B2M,V4 GP,0.974742268041237,1,0.035719827090867,0.025257731958763,False,,41,B2M,V4 GP,1.02525773195876,1,0.035719827090867,0.025257731958763,False
42,B2M,R5bis GP,,,,,True,,42,B2M,R5bis GP,,,,,True
43,B2M,R5bis GP,1.06315789473684,1,0.089318751307775,0.063157894736842,False,,43,B2M,R5bis GP,1.06315789473684,1,0.089318751307775,0.063157894736842,False
44,B2M,R5bis GP,0.936842105263158,1,0.089318751307775,0.063157894736842,False,,44,B2M,R5bis GP,0.936842105263158,1,0.089318751307775,0.063157894736842,False
45,B2M,R6bisGP,,,,,True,,45,B2M,R6bisGP,0.039560351020902,1,1.61996004327156,0.935284367059274,False
46,B2M,R6bisGP,1.38977784682305,1,0.551229117289746,0.389777846823054,False,,46,B2M,R6bisGP,2.87034115095644,1,1.61996004327156,0.935284367059274,False
47,B2M,R6bisGP,0.610222153176946,1,0.551229117289746,0.389777846823054,False,,47,B2M,R6bisGP,0.090098498022654,1,1.61996004327156,0.935284367059274,False
48,B2M,R8bisGP,0.849043777757636,1,0.150303412098024,0.086777715434913,False,,48,B2M,R8bisGP,0.849043777757636,1,0.150303412098024,0.086777715434913,False
49,B2M,R8bisGP,1.14964198314148,1,0.150303412098024,0.086777715434913,False,,49,B2M,R8bisGP,1.14964198314148,1,0.150303412098024,0.086777715434913,False
50,B2M,R8bisGP,1.00131423910088,1,0.150303412098024,0.086777715434913,False,,50,B2M,R8bisGP,1.00131423910088,1,0.150303412098024,0.086777715434913,False
51,B2M,V2GP,1.11632705700284,1,0.164511301684361,0.116327057002837,False,,51,B2M,V2GP,1.11632705700284,1,0.164511301684361,0.116327057002837,False
52,B2M,V2GP,0.883672942997163,1,0.164511301684361,0.116327057002837,False,,52,B2M,V2GP,0.883672942997163,1,0.164511301684361,0.116327057002837,False
53,B2M,V2GP,,,,,True,,53,B2M,V2GP,,,,,True
54,B2M,V8GP,,,,,True,,54,B2M,V8GP,2.72833111764594E-08,1,1.73205075082797,0.999999967240622,False
55,B2M,V8GP,1.16716028906528,1,0.236400347886321,0.167160289065277,False,,55,B2M,V8GP,2.99999993448124,1,1.73205075082797,0.999999967240622,False
