11,A11,FALSE,AiW002-2-D0,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.749,1.335,26.116,26.095,0.027,,5.926,0.305,0.176,0.000,TRUE,0.283,TRUE,3,20,Amp,,0.934,N,N,N,N,N,N,N,N
12,A12,FALSE,AiW002-2-D0,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.749,1.335,26.105,26.095,0.027,,5.926,0.305,0.176,0.000,TRUE,0.283,TRUE,3,19,Amp,,0.947,N,N,N,N,N,N,N,N
13,A13,FALSE,AiW002-2-D0,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.724,1.381,26.693,26.752,0.155,,6.583,0.341,0.197,0.000,TRUE,0.300,TRUE,3,21,Amp,,0.946,N,N,N,N,N,N,N,N
14,A14,FALSE,AiW002-2-D0,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.724,1.381,26.635,26.752,0.155,,6.583,0.341,0.197,0.000,TRUE,0.300,TRUE,3,21,Amp,,0.942,N,N,N,N,N,N,N,N
15,A15,FALSE,AiW002-2-D0,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.724,1.381,26.927,26.752,0.155,,6.583,0.341,0.197,0.000,TRUE,0.300,TRUE,3,22,Amp,,0.932,N,N,N,N,N,N,N,N
16,A16,FALSE,AiW002-2-D0,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.745,1.342,25.140,25.139,0.066,,4.970,0.311,0.180,0.000,TRUE,0.311,TRUE,3,19,Amp,,0.952,N,N,N,N,N,N,N,N
17,A17,FALSE,AiW002-2-D0,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.745,1.342,25.073,25.139,0.066,,4.970,0.311,0.180,0.000,TRUE,0.311,TRUE,3,18,Amp,,0.944,N,N,N,N,N,N,N,N
18,A18,FALSE,AiW002-2-D0,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.745,1.342,25.204,25.139,0.066,,4.970,0.311,0.180,0.000,TRUE,0.311,TRUE,3,19,Amp,,0.941,N,N,N,N,N,N,N,N
19,A19,FALSE,AiW002-2-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.115,18.594,0.421,,,,,,TRUE,0.101,TRUE,3,14,Amp,,0.783,Y,N,N,N,N,N,N,N
20,A20,FALSE,AiW002-2-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.909,18.594,0.421,,,,,,TRUE,0.101,TRUE,3,16,Amp,,0.841,N,N,N,N,N,N,Y,N
21,A21,FALSE,AiW002-2-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.758,18.594,0.421,,,,,,TRUE,0.101,TRUE,3,15,Amp,,0.839,N,N,N,N,N,N,Y,N
22,A22,FALSE,AiW002-2-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.691,21.745,0.085,,,,,,TRUE,0.096,TRUE,3,17,Amp,,0.831,N,N,N,N,N,Y,N,N
23,A23,FALSE,AiW002-2-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.700,21.745,0.085,,,,,,TRUE,0.096,TRUE,3,17,Amp,,0.880,N,N,N,N,N,N,N,N
24,A24,FALSE,AiW002-2-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.843,21.745,0.085,,,,,,TRUE,0.096,TRUE,3,17,Amp,,0.868,N,N,N,N,N,N,N,N
49,C1,FALSE,AiW002-2-D7,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,0.695,0.465,1.038,26.177,26.428,0.278,,6.244,0.424,0.245,0.525,TRUE,0.478,TRUE,3,19,Amp,,0.975,N,N,N,N,N,N,N,N
50,C2,FALSE,AiW002-2-D7,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,0.695,0.465,1.038,26.381,26.428,0.278,,6.244,0.424,0.245,0.525,TRUE,0.478,TRUE,3,20,Amp,,0.975,N,N,N,N,N,N,N,N
51,C3,FALSE,AiW002-2-D7,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,0.695,0.465,1.038,26.727,26.428,0.278,,6.244,0.424,0.245,0.525,TRUE,0.478,TRUE,3,21,Amp,,0.953,N,N,N,N,N,N,N,N
52,C4,FALSE,AiW002-2-D7,SRY,UNKNOWN,FAM,NFQ-MGB,,,,0.044,0.029,0.068,32.341,32.648,0.317,,12.464,0.451,0.260,4.498,TRUE,0.337,TRUE,3,27,Amp,,0.927,N,N,N,N,N,N,N,N
53,C5,FALSE,AiW002-2-D7,SRY,UNKNOWN,FAM,NFQ-MGB,,,,0.044,0.029,0.068,32.629,32.648,0.317,,12.464,0.451,0.260,4.498,TRUE,0.337,TRUE,3,27,Amp,,0.939,N,N,N,N,N,N,N,N
54,C6,FALSE,AiW002-2-D7,SRY,UNKNOWN,FAM,NFQ-MGB,,,,0.044,0.029,0.068,32.974,32.648,0.317,,12.464,0.451,0.260,4.498,TRUE,0.337,TRUE,3,27,Amp,,0.951,N,N,N,N,N,N,Y,N
55,C7,FALSE,AiW002-2-D7,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.868,0.634,1.187,21.462,21.557,0.082,,1.372,0.331,0.191,0.204,TRUE,0.277,TRUE,3,16,Amp,,0.907,N,N,N,N,N,N,N,N
56,C8,FALSE,AiW002-2-D7,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.868,0.634,1.187,21.611,21.557,0.082,,1.372,0.331,0.191,0.204,TRUE,0.277,TRUE,3,16,Amp,,0.916,N,N,N,N,N,N,N,N
57,C9,FALSE,AiW002-2-D7,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.868,0.634,1.187,21.597,21.557,0.082,,1.372,0.331,0.191,0.204,TRUE,0.277,TRUE,3,16,Amp,,0.944,N,N,N,N,N,N,N,N
58,C10,FALSE,AiW002-2-D7,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,0.972,0.707,1.335,26.163,26.152,0.098,,5.967,0.335,0.194,0.041,TRUE,0.283,TRUE,3,21,Amp,,0.938,N,N,N,N,N,N,N,N
59,C11,FALSE,AiW002-2-D7,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,0.972,0.707,1.335,26.048,26.152,0.098,,5.967,0.335,0.194,0.041,TRUE,0.283,TRUE,3,21,Amp,,0.975,N,N,N,N,N,N,N,N
60,C12,FALSE,AiW002-2-D7,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,0.972,0.707,1.335,26.244,26.152,0.098,,5.967,0.335,0.194,0.041,TRUE,0.283,TRUE,3,21,Amp,,0.938,N,N,N,N,N,N,N,N
61,C13,FALSE,AiW002-2-D7,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,1.235,0.781,1.953,26.661,26.462,0.363,,6.278,0.484,0.279,-0.305,TRUE,0.300,TRUE,3,21,Amp,,0.947,N,N,N,N,N,N,N,N
62,C14,FALSE,AiW002-2-D7,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,1.235,0.781,1.953,26.044,26.462,0.363,,6.278,0.484,0.279,-0.305,TRUE,0.300,TRUE,3,19,Amp,,0.965,N,N,N,N,N,N,Y,N
63,C15,FALSE,AiW002-2-D7,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,1.235,0.781,1.953,26.681,26.462,0.363,,6.278,0.484,0.279,-0.305,TRUE,0.300,TRUE,3,20,Amp,,0.974,N,N,N,N,N,N,N,N
64,C16,FALSE,AiW002-2-D7,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.442,0.279,0.699,26.229,26.332,0.364,,6.148,0.485,0.280,1.178,TRUE,0.311,TRUE,3,21,Amp,,0.972,N,N,N,N,N,N,N,N
65,C17,FALSE,AiW002-2-D7,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.442,0.279,0.699,26.032,26.332,0.364,,6.148,0.485,0.280,1.178,TRUE,0.311,TRUE,3,18,Amp,,0.973,N,N,N,N,N,N,Y,N
66,C18,FALSE,AiW002-2-D7,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.442,0.279,0.699,26.737,26.332,0.364,,6.148,0.485,0.280,1.178,TRUE,0.311,TRUE,3,19,Amp,,0.969,N,N,N,N,N,N,Y,N
67,C19,FALSE,AiW002-2-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.370,18.408,0.182,,,,,,TRUE,0.101,TRUE,3,14,Amp,,0.814,N,N,N,N,N,N,Y,N
68,C20,FALSE,AiW002-2-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.249,18.408,0.182,,,,,,TRUE,0.101,TRUE,3,14,Amp,,0.816,N,N,N,N,N,N,Y,N
69,C21,FALSE,AiW002-2-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.606,18.408,0.182,,,,,,TRUE,0.101,TRUE,3,14,Amp,,0.832,N,N,N,N,N,N,Y,N
70,C22,FALSE,AiW002-2-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.549,21.960,0.416,,,,,,TRUE,0.096,TRUE,3,18,Amp,,0.794,Y,N,N,N,N,N,N,N
71,C23,FALSE,AiW002-2-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.952,21.960,0.416,,,,,,TRUE,0.096,TRUE,3,17,Amp,,0.887,N,N,N,N,N,N,N,N
72,C24,FALSE,AiW002-2-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.380,21.960,0.416,,,,,,TRUE,0.096,TRUE,3,18,Amp,,0.856,N,N,N,N,N,N,N,N
97,E1,FALSE,KYOU-D0,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,0.422,0.271,0.659,26.243,26.447,0.227,,6.963,0.470,0.271,1.244,TRUE,0.478,TRUE,3,21,Amp,,0.980,N,N,N,N,N,N,N,N
98,E2,FALSE,KYOU-D0,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,0.422,0.271,0.659,26.405,26.447,0.227,,6.963,0.470,0.271,1.244,TRUE,0.478,TRUE,3,21,Amp,,0.973,N,N,N,Y,N,N,Y,N
99,E3,FALSE,KYOU-D0,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,0.422,0.271,0.659,26.692,26.447,0.227,,6.963,0.470,0.271,1.244,TRUE,0.478,TRUE,3,20,Amp,,0.959,N,N,N,N,N,N,N,N
100,E4,FALSE,KYOU-D0,SRY,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.337,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,N
101,E5,FALSE,KYOU-D0,SRY,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.337,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,N
102,E6,FALSE,KYOU-D0,SRY,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.337,TRUE,3,28,No Amp,,0.000,Y,N,N,N,N,N,N,N
103,E7,FALSE,KYOU-D0,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.584,0.395,0.864,21.387,21.428,0.052,,1.944,0.414,0.239,0.776,TRUE,0.277,TRUE,3,16,Amp,,0.908,N,N,N,N,N,N,N,N
104,E8,FALSE,KYOU-D0,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.584,0.395,0.864,21.411,21.428,0.052,,1.944,0.414,0.239,0.776,TRUE,0.277,TRUE,3,15,Amp,,0.911,N,N,N,N,N,N,N,N
